;OTIMIZADOR;MODELO;SEED;Reservoirs;Sparsity;Spectral Radius;Fitness
1891;PSO;ESN;9000;29.0;0.208;0.646;0.376
1892;PSO;ESN;9000;29.0;0.208;0.646;0.376
1893;PSO;ESN;9000;29.0;0.208;0.646;0.376
1894;PSO;ESN;9000;29.0;0.208;0.646;0.376
1895;PSO;ESN;9000;29.0;0.208;0.646;0.376
1896;PSO;ESN;9000;29.0;0.208;0.646;0.376
1897;PSO;ESN;9000;29.0;0.208;0.646;0.376
1898;PSO;ESN;9000;29.0;0.208;0.646;0.376
1899;PSO;ESN;9000;29.0;0.208;0.646;0.376
1900;PSO;ESN;9000;29.0;0.208;0.646;0.376
1901;PSO;ESN;9000;29.0;0.208;0.646;0.376
1902;PSO;ESN;9000;29.0;0.208;0.646;0.376
1903;PSO;ESN;9000;29.0;0.208;0.646;0.376
1904;PSO;ESN;9000;29.0;0.208;0.646;0.376
1905;PSO;ESN;9000;29.0;0.208;0.646;0.376
1906;PSO;ESN;9000;29.0;0.208;0.646;0.376
1907;PSO;ESN;9000;29.0;0.208;0.646;0.376
1908;PSO;ESN;9000;29.0;0.208;0.646;0.376
1909;PSO;ESN;9000;29.0;0.208;0.646;0.376
1910;PSO;ESN;9000;29.0;0.208;0.646;0.376
1911;PSO;ESN;9000;29.0;0.208;0.646;0.376
1912;PSO;ESN;9000;29.0;0.208;0.646;0.376
1913;PSO;ESN;9000;29.0;0.208;0.646;0.376
1914;PSO;ESN;9000;29.0;0.208;0.646;0.376
1915;PSO;ESN;9000;29.0;0.208;0.646;0.376
1916;PSO;ESN;9000;29.0;0.208;0.646;0.376
1917;PSO;ESN;9000;29.0;0.208;0.646;0.376
1918;PSO;ESN;9000;29.0;0.208;0.646;0.376
1919;PSO;ESN;9000;29.0;0.208;0.646;0.376
1920;PSO;ESN;9000;20.0;0.221;0.642;0.357
1921;PSO;ESN;9000;20.0;0.221;0.642;0.357
1922;PSO;ESN;9000;20.0;0.221;0.642;0.357
1923;PSO;ESN;9000;20.0;0.221;0.642;0.357
1924;PSO;ESN;9000;20.0;0.221;0.642;0.357
1925;PSO;ESN;9000;20.0;0.221;0.642;0.357
1926;PSO;ESN;9000;20.0;0.221;0.642;0.357
1927;PSO;ESN;9000;20.0;0.221;0.642;0.357
1928;PSO;ESN;9000;20.0;0.221;0.642;0.357
1929;PSO;ESN;9000;20.0;0.221;0.642;0.357
1930;PSO;ESN;9000;20.0;0.221;0.642;0.357
1931;PSO;ESN;9000;20.0;0.221;0.642;0.357
1932;PSO;ESN;9000;20.0;0.221;0.642;0.357
1933;PSO;ESN;9000;20.0;0.221;0.642;0.357
1934;PSO;ESN;9000;20.0;0.221;0.642;0.357
1935;PSO;ESN;9000;14.0;0.227;0.64;0.336
1936;PSO;ESN;9000;14.0;0.227;0.64;0.336
1937;PSO;ESN;9000;14.0;0.227;0.64;0.336
1938;PSO;ESN;9000;14.0;0.227;0.64;0.336
1939;PSO;ESN;9000;14.0;0.227;0.64;0.336
1940;PSO;ESN;9000;14.0;0.227;0.64;0.336
1941;PSO;ESN;9000;14.0;0.227;0.64;0.336
1942;PSO;ESN;9000;14.0;0.227;0.64;0.336
1943;PSO;ESN;9000;14.0;0.227;0.64;0.336
1944;PSO;ESN;9000;14.0;0.227;0.64;0.336
1945;PSO;ESN;9000;14.0;0.227;0.64;0.336
1946;PSO;ESN;9000;14.0;0.227;0.64;0.336
1947;PSO;ESN;9000;14.0;0.227;0.64;0.336
1948;PSO;ESN;9000;14.0;0.227;0.64;0.336
1949;PSO;ESN;9000;14.0;0.227;0.64;0.336
1950;PSO;ESN;9000;11.0;0.23;0.639;0.289
1951;PSO;ESN;9000;11.0;0.23;0.639;0.289
1952;PSO;ESN;9000;11.0;0.23;0.639;0.289
1953;PSO;ESN;9000;11.0;0.23;0.639;0.289
1954;PSO;ESN;9000;11.0;0.23;0.639;0.289
1955;PSO;ESN;9000;11.0;0.23;0.639;0.289
1956;PSO;ESN;9000;11.0;0.23;0.639;0.289
1957;PSO;ESN;9000;11.0;0.23;0.639;0.289
1958;PSO;ESN;9000;11.0;0.23;0.639;0.289
1959;PSO;ESN;9000;11.0;0.23;0.639;0.289
1960;PSO;ESN;9000;11.0;0.23;0.639;0.289
1961;PSO;ESN;9000;11.0;0.23;0.639;0.289
1962;PSO;ESN;9000;11.0;0.23;0.639;0.289
1963;PSO;ESN;9000;11.0;0.23;0.639;0.289
1964;PSO;ESN;9000;11.0;0.23;0.639;0.289
1965;PSO;ESN;9000;11.0;0.23;0.639;0.289
1966;PSO;ESN;9000;11.0;0.23;0.639;0.289
1967;PSO;ESN;9000;11.0;0.23;0.639;0.289
1968;PSO;ESN;9000;11.0;0.23;0.639;0.289
1969;PSO;ESN;9000;11.0;0.23;0.639;0.289
1970;PSO;ESN;9000;11.0;0.23;0.639;0.289
1971;PSO;ESN;9000;11.0;0.23;0.639;0.289
1972;PSO;ESN;9000;11.0;0.23;0.639;0.289
1973;PSO;ESN;9000;11.0;0.23;0.639;0.289
1974;PSO;ESN;9000;11.0;0.23;0.639;0.289
1975;PSO;ESN;9000;11.0;0.23;0.639;0.289
1976;PSO;ESN;9000;11.0;0.23;0.639;0.289
1977;PSO;ESN;9000;11.0;0.23;0.639;0.289
1978;PSO;ESN;9000;11.0;0.23;0.639;0.289
1979;PSO;ESN;9000;11.0;0.23;0.639;0.289
1980;PSO;ESN;9000;11.0;0.23;0.639;0.289
1981;PSO;ESN;9000;11.0;0.23;0.639;0.289
1982;PSO;ESN;9000;11.0;0.23;0.639;0.289
1983;PSO;ESN;9000;11.0;0.23;0.639;0.289
1984;PSO;ESN;9000;11.0;0.23;0.639;0.289
1985;PSO;ESN;9000;11.0;0.23;0.639;0.289
1986;PSO;ESN;9000;11.0;0.23;0.639;0.289
1987;PSO;ESN;9000;11.0;0.23;0.639;0.289
1988;PSO;ESN;9000;11.0;0.23;0.639;0.289
1989;PSO;ESN;9000;11.0;0.23;0.639;0.289
1990;PSO;ESN;9000;11.0;0.23;0.639;0.289
1991;PSO;ESN;9000;11.0;0.23;0.639;0.289
1992;PSO;ESN;9000;11.0;0.23;0.639;0.289
1993;PSO;ESN;9000;11.0;0.23;0.639;0.289
1994;PSO;ESN;9000;11.0;0.23;0.639;0.289
1995;PSO;ESN;9000;11.0;0.23;0.639;0.289
1996;PSO;ESN;9000;11.0;0.23;0.639;0.289
1997;PSO;ESN;9000;11.0;0.23;0.639;0.289
1998;PSO;ESN;9000;11.0;0.23;0.639;0.289
1999;PSO;ESN;9000;11.0;0.23;0.639;0.289
2000;PSO;ESN;9000;11.0;0.23;0.639;0.289
2001;PSO;ESN;9000;11.0;0.23;0.639;0.289
2002;PSO;ESN;9000;11.0;0.23;0.639;0.289
2003;PSO;ESN;9000;11.0;0.23;0.639;0.289
2004;PSO;ESN;9000;11.0;0.23;0.639;0.289
2005;PSO;ESN;9000;11.0;0.23;0.639;0.289
2006;PSO;ESN;9000;11.0;0.23;0.639;0.289
2007;PSO;ESN;9000;11.0;0.23;0.639;0.289
2008;PSO;ESN;9000;11.0;0.23;0.639;0.289
2009;PSO;ESN;9000;11.0;0.23;0.639;0.289
2010;PSO;ESN;9000;11.0;0.23;0.639;0.289
2011;PSO;ESN;9000;11.0;0.23;0.639;0.289
2012;PSO;ESN;9000;11.0;0.23;0.639;0.289
2013;PSO;ESN;9000;11.0;0.23;0.639;0.289
2014;PSO;ESN;9000;11.0;0.23;0.639;0.289
2015;PSO;ESN;9000;11.0;0.23;0.639;0.289
2016;PSO;ESN;9000;11.0;0.23;0.639;0.289
2017;PSO;ESN;9000;11.0;0.23;0.639;0.289
2018;PSO;ESN;9000;11.0;0.23;0.639;0.289
2019;PSO;ESN;9000;11.0;0.23;0.639;0.289
2020;PSO;ESN;9000;11.0;0.23;0.639;0.289
2021;PSO;ESN;9000;11.0;0.23;0.639;0.289
2022;PSO;ESN;9000;11.0;0.23;0.639;0.289
2023;PSO;ESN;9000;11.0;0.23;0.639;0.289
2024;PSO;ESN;9000;11.0;0.23;0.639;0.289
