;Hidden Layers;Learning Rate Init;Alpha;Activation;Fitness
0;59;0.27618440614251705;0.0616809325344857;tanh;3.489792
1;59;0.6557520974900317;0.32281653939417687;tanh;0.56243795
2;126;0.012500185528525054;0.5494977489448956;logistic;0.44086468
3;74;0.03184321001432723;0.5450716839849974;logistic;0.43752804
4;48;0.04151472225722832;0.5428586515050483;logistic;0.406123
5;80;0.005913131816248612;0.5913988982464348;logistic;0.3879721
6;57;0.052376554510558476;0.6508815762156115;logistic;0.36645007
7;57;0.052376554510558476;0.6508815762156115;logistic;0.36645007
8;57;0.052376554510558476;0.6508815762156115;logistic;0.36645007
9;57;0.052376554510558476;0.6508815762156115;logistic;0.36645007
10;57;0.052376554510558476;0.6508815762156115;logistic;0.36645007
11;57;0.052376554510558476;0.6508815762156115;logistic;0.36645007
12;57;0.052376554510558476;0.6508815762156115;logistic;0.36645007
13;57;0.052376554510558476;0.6508815762156115;logistic;0.36645007
14;57;0.052376554510558476;0.6508815762156115;logistic;0.36645007
