;OTIMIZADOR;MODELO;SEED;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
1350;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1351;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1352;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1353;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1354;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1355;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1356;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1357;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1358;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1359;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1360;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1361;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1362;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1363;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1364;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1365;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1366;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1367;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1368;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1369;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1370;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1371;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1372;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1373;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1374;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1375;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1376;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1377;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1378;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1379;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1380;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1381;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1382;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1383;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
1384;PSO;RF;7000;70.0;229.0;23.0;4.0;0.284
