;OTIMIZADOR;MODELO;SEED;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
744;SA;RF;4000;24.0;178.0;5.0;3.0;0.253
745;SA;RF;4000;24.0;178.0;5.0;3.0;0.253
746;SA;RF;4000;24.0;178.0;5.0;3.0;0.253
747;SA;RF;4000;24.0;178.0;5.0;3.0;0.253
748;SA;RF;4000;24.0;178.0;5.0;3.0;0.253
749;SA;RF;4000;24.0;178.0;5.0;3.0;0.253
750;SA;RF;4000;24.0;178.0;5.0;3.0;0.253
751;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
752;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
753;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
754;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
755;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
756;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
757;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
758;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
759;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
760;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
761;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
762;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
763;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
764;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
765;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
766;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
767;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
768;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
769;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
770;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
771;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
772;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
773;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
774;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
775;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
776;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
777;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
778;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
779;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
780;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
781;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
782;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
783;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
784;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
785;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
786;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
787;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
788;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
789;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
790;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
791;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
792;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
793;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
794;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
795;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
796;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
797;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
798;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
799;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
800;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
801;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
802;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
803;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
804;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
805;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
806;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
807;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
808;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
809;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
810;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
811;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
812;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
813;SA;RF;4000;17.0;181.0;4.0;3.0;0.248
