;OTIMIZADOR;MODELO;SEED;Hidden Layers;Alpha;Activation;Fitness
2139;SA;MLP;10000;230;0.78;identity;0.232
2140;SA;MLP;10000;230;0.78;identity;0.232
2141;SA;MLP;10000;230;0.78;identity;0.232
2142;SA;MLP;10000;230;0.78;identity;0.232
2143;SA;MLP;10000;230;0.78;identity;0.232
2144;SA;MLP;10000;230;0.78;identity;0.232
2145;SA;MLP;10000;230;0.78;identity;0.232
2146;SA;MLP;10000;230;0.78;identity;0.232
2147;SA;MLP;10000;230;0.78;identity;0.232
2148;SA;MLP;10000;230;0.78;identity;0.232
2149;SA;MLP;10000;230;0.78;identity;0.232
2150;SA;MLP;10000;230;0.78;identity;0.232
2151;SA;MLP;10000;230;0.78;identity;0.232
2152;SA;MLP;10000;230;0.78;identity;0.232
2153;SA;MLP;10000;230;0.78;identity;0.232
2154;SA;MLP;10000;230;0.78;identity;0.232
2155;SA;MLP;10000;230;0.78;identity;0.232
2156;SA;MLP;10000;230;0.78;identity;0.232
2157;SA;MLP;10000;230;0.78;identity;0.232
2158;SA;MLP;10000;230;0.78;identity;0.232
2159;SA;MLP;10000;230;0.78;identity;0.232
2160;SA;MLP;10000;230;0.78;identity;0.232
2161;SA;MLP;10000;230;0.78;identity;0.232
2162;SA;MLP;10000;230;0.78;identity;0.232
2163;SA;MLP;10000;230;0.78;identity;0.232
2164;SA;MLP;10000;230;0.78;identity;0.232
2165;SA;MLP;10000;230;0.78;identity;0.232
2166;SA;MLP;10000;230;0.78;identity;0.232
2167;SA;MLP;10000;230;0.78;identity;0.232
2168;SA;MLP;10000;230;0.78;identity;0.232
2169;SA;MLP;10000;230;0.78;identity;0.232
2170;SA;MLP;10000;230;0.78;identity;0.232
2171;SA;MLP;10000;230;0.78;identity;0.232
2172;SA;MLP;10000;230;0.78;identity;0.232
2173;SA;MLP;10000;230;0.78;identity;0.232
2174;SA;MLP;10000;230;0.78;identity;0.232
2175;SA;MLP;10000;230;0.78;identity;0.232
2176;SA;MLP;10000;230;0.78;identity;0.232
2177;SA;MLP;10000;230;0.78;identity;0.232
2178;SA;MLP;10000;230;0.78;identity;0.232
2179;SA;MLP;10000;230;0.78;identity;0.232
2180;SA;MLP;10000;230;0.78;identity;0.232
2181;SA;MLP;10000;230;0.78;identity;0.232
2182;SA;MLP;10000;230;0.78;identity;0.232
2183;SA;MLP;10000;230;0.78;identity;0.232
2184;SA;MLP;10000;230;0.78;identity;0.232
2185;SA;MLP;10000;230;0.78;identity;0.232
2186;SA;MLP;10000;230;0.78;identity;0.232
2187;SA;MLP;10000;230;0.78;identity;0.232
2188;SA;MLP;10000;230;0.78;identity;0.232
2189;SA;MLP;10000;230;0.78;identity;0.232
2190;SA;MLP;10000;230;0.78;identity;0.232
2191;SA;MLP;10000;230;0.78;identity;0.232
2192;SA;MLP;10000;230;0.78;identity;0.232
2193;SA;MLP;10000;230;0.78;identity;0.232
2194;SA;MLP;10000;230;0.78;identity;0.232
2195;SA;MLP;10000;230;0.78;identity;0.232
2196;SA;MLP;10000;230;0.78;identity;0.232
2197;SA;MLP;10000;230;0.78;identity;0.232
2198;SA;MLP;10000;230;0.78;identity;0.232
2199;SA;MLP;10000;230;0.78;identity;0.232
2200;SA;MLP;10000;230;0.78;identity;0.232
2201;SA;MLP;10000;230;0.78;identity;0.232
2202;SA;MLP;10000;230;0.78;identity;0.232
2203;SA;MLP;10000;230;0.78;identity;0.232
2204;SA;MLP;10000;230;0.78;identity;0.232
2205;SA;MLP;10000;230;0.78;identity;0.232
2206;SA;MLP;10000;230;0.78;identity;0.232
2207;SA;MLP;10000;230;0.78;identity;0.232
2208;SA;MLP;10000;230;0.78;identity;0.232
2209;SA;MLP;10000;230;0.78;identity;0.232
2210;SA;MLP;10000;230;0.78;identity;0.232
2211;SA;MLP;10000;230;0.78;identity;0.232
2212;SA;MLP;10000;230;0.78;identity;0.232
2213;SA;MLP;10000;230;0.78;identity;0.232
2214;SA;MLP;10000;230;0.78;identity;0.232
2215;SA;MLP;10000;230;0.78;identity;0.232
2216;SA;MLP;10000;230;0.78;identity;0.232
2217;SA;MLP;10000;230;0.78;identity;0.232
2218;SA;MLP;10000;230;0.78;identity;0.232
2219;SA;MLP;10000;230;0.78;identity;0.232
2220;SA;MLP;10000;230;0.78;identity;0.232
2221;SA;MLP;10000;230;0.78;identity;0.232
2222;SA;MLP;10000;230;0.78;identity;0.232
2223;SA;MLP;10000;230;0.78;identity;0.232
2224;SA;MLP;10000;230;0.78;identity;0.232
2225;SA;MLP;10000;230;0.78;identity;0.232
2226;SA;MLP;10000;230;0.78;identity;0.232
2227;SA;MLP;10000;230;0.78;identity;0.232
2228;SA;MLP;10000;230;0.78;identity;0.232
2229;SA;MLP;10000;230;0.78;identity;0.232
2230;SA;MLP;10000;230;0.78;identity;0.232
2231;SA;MLP;10000;230;0.78;identity;0.232
2232;SA;MLP;10000;230;0.78;identity;0.232
2233;SA;MLP;10000;230;0.78;identity;0.232
2234;SA;MLP;10000;230;0.78;identity;0.232
2235;SA;MLP;10000;230;0.78;identity;0.232
2236;SA;MLP;10000;230;0.78;identity;0.232
2237;SA;MLP;10000;230;0.78;identity;0.232
2238;SA;MLP;10000;230;0.78;identity;0.232
2239;SA;MLP;10000;230;0.78;identity;0.232
2240;SA;MLP;10000;230;0.78;identity;0.232
2241;SA;MLP;10000;230;0.78;identity;0.232
2242;SA;MLP;10000;230;0.78;identity;0.232
2243;SA;MLP;10000;230;0.78;identity;0.232
2244;SA;MLP;10000;230;0.78;identity;0.232
2245;SA;MLP;10000;230;0.78;identity;0.232
2246;SA;MLP;10000;230;0.78;identity;0.232
2247;SA;MLP;10000;230;0.78;identity;0.232
2248;SA;MLP;10000;230;0.78;identity;0.232
2249;SA;MLP;10000;230;0.78;identity;0.232
2250;SA;MLP;10000;230;0.78;identity;0.232
2251;SA;MLP;10000;230;0.78;identity;0.232
2252;SA;MLP;10000;230;0.78;identity;0.232
2253;SA;MLP;10000;230;0.78;identity;0.232
2254;SA;MLP;10000;230;0.78;identity;0.232
2255;SA;MLP;10000;230;0.78;identity;0.232
2256;SA;MLP;10000;230;0.78;identity;0.232
2257;SA;MLP;10000;230;0.78;identity;0.232
2258;SA;MLP;10000;230;0.78;identity;0.232
2259;SA;MLP;10000;230;0.78;identity;0.232
