;Units;Epochs;Batch Size;Activation;Fitness
0;158;328;261;sigmoid;0.5411862
1;117;344;198;sigmoid;0.5108608
2;117;344;198;sigmoid;0.5108608
3;98;348;222;sigmoid;0.49983397
4;67;347;213;sigmoid;0.4785421
5;67;347;213;sigmoid;0.4785421
6;67;347;213;sigmoid;0.4785421
7;67;347;213;sigmoid;0.4785421
8;94;345;203;sigmoid;0.4784473
9;94;345;203;sigmoid;0.4784473
10;94;345;203;sigmoid;0.4784473
11;106;341;219;sigmoid;0.4767353
12;106;341;219;sigmoid;0.4767353
13;106;341;219;sigmoid;0.4767353
14;106;341;219;sigmoid;0.4767353
