DATA;ESN;MLP;RF;XGBoost
2023-11-30;8849.37057891178;8635.986459110583;8536.818042328043;9832.544
2023-12-31;8666.995226394165;10049.008414096086;8596.010105820107;8227.279
2024-01-31;9058.143330645647;7250.919893039057;7862.737222222222;7978.482
2024-02-29;8123.981792586865;9088.421499296968;7791.38456950457;8214.0205
2024-03-31;12604.203853457124;9323.046055787516;8432.347789802789;8951.029
2024-04-30;8689.206058452708;9347.770971305259;8977.475264550265;9621.309
2024-05-31;7929.230564598201;6386.329939352889;8020.055820105819;8423.787
2024-06-30;4075.016652079944;7263.346141081092;7751.711818181818;7429.41
2024-07-31;124840.90015328178;6650.054209590235;5327.977841880342;4812.1016
2024-08-31;12962.133636738237;8753.453638512532;7646.520996318497;6931.555
2024-09-30;12198.230408033733;9734.323485639858;7838.234120971622;7132.4575
2024-10-31;13629.385047358513;8875.908006372467;8280.266740019242;7742.169
