DATA;ESN;MLP;RF;XGBoost
2023-11-30;13716.325331861306;12731.48582805701;11821.327605820106;11003.468
2023-12-31;13131.482411202054;13344.46118481951;10249.704181651683;12001.152
2024-01-31;10420.572020531084;7775.498558008286;9943.305206275207;8053.844
2024-02-29;11347.306701230087;10798.605015123083;11893.219052429053;11060.754
2024-03-31;17519.264557619787;12508.275501386659;12897.393095238096;14576.63
2024-04-30;11607.793074890233;12223.632018531593;11428.793006822614;11637.812
2024-05-31;11632.471323171985;8903.713961525555;11843.10421115921;11196.239
2024-06-30;8591.094585047593;10150.07044904313;10537.8618006993;9616.304
2024-07-31;12098.916393504333;8122.799904418561;10224.506587301588;11757.981
2024-08-31;13617.658786758837;9396.65156076742;10534.966597583703;12606.417
2024-09-30;12998.586002333306;12072.842604645473;11739.431331738437;12163.359
2024-10-31;13630.794141528397;12017.52933321931;10824.39012922263;10937.184
