DATA;ESN;MLP;RF;XGBoost
2023-11-30;4799.428290181725;5499.331737958663;6872.737317774818;6530.937
2023-12-31;4729.650984119441;6430.335223754219;7312.2049751174745;8464.037
2024-01-31;807.2165181063128;4243.327497983026;6629.153156935657;5769.03
2024-02-29;2481.450158816465;6764.609720161851;5868.482443847575;6098.291
2024-03-31;5068.244087966962;6906.69391125016;6794.188712491213;6022.3384
2024-04-30;2220.9124154663973;7715.485939202819;8524.729064824065;8919.144
2024-05-31;1976.498615856221;5659.206348726921;6774.226823546825;4117.151
2024-06-30;972.421302980489;5895.0024129041;4522.697137584638;4587.5684
2024-07-31;-121.40426737809337;3475.207805235941;2893.7298775298773;2764.7146
2024-08-31;-29270.555152552603;2994.496284242759;2973.954321974322;3056.6936
2024-09-30;1949.4858840562804;5922.221796647928;5188.367522755022;5282.6885
2024-10-31;2977.059565158961;6027.714148912088;5946.298518426019;6267.9297
