DATA;ESN;MLP;RF;XGBoost
2023-11-30;10163.523681962237;9853.961277541102;9691.1860994561;10133.952
2023-12-31;7807.269464509797;9118.012577856569;9116.148296888297;9430.407
2024-01-31;737.9663561525075;3688.502270167088;6444.041320346319;4970.7427
2024-02-29;3539.5840209651287;7122.702553375655;4256.158367003366;3857.4368
2024-03-31;5949.355310147317;8164.590288755367;9331.420993080994;8594.117
2024-04-30;5004.489697210807;9545.945186318053;9116.044336404335;9389.753
2024-05-31;6168.578423034551;8719.267870382359;10195.749750249752;9820.493
2024-06-30;4338.199660918993;8922.226860016863;3734.843268398268;3490.837
2024-07-31;4285.522338420884;8015.1646310696915;3736.8719456469453;3487.446
2024-08-31;9004.321514231873;9931.01731389565;10181.485423650423;10058.656
2024-09-30;5749.627738660778;9510.101337632055;9642.874814999815;9296.315
2024-10-31;5646.059517164168;9565.089398705008;9979.637330447329;9466.007
