DATA;ESN;MLP;RF;XGBoost
2023-11-30;13591.401089717005;12994.823731045815;12431.0297008547;14290.127
2023-12-31;12046.816996043495;13326.119671703784;11774.150238095237;13581.287
2024-01-31;5995.475104843395;6055.81188279761;12285.486055669475;9647.568
2024-02-29;11537.130944495615;12579.614505568052;13516.101126121901;12341.21
2024-03-31;15256.018545917274;13603.011652643916;13337.807792788566;13142.654
2024-04-30;11964.135428273285;13790.321569195497;12655.830236608363;15308.608
2024-05-31;8140.863027042219;8260.821580813496;10724.414514189511;10223.5205
2024-06-30;5544.109870930694;9002.075520152048;11447.210340520045;9351.123
2024-07-31;5333.0459713070795;5236.726139629472;11126.61500594177;8330.714
2024-08-31;7956.77395579923;7840.793297483172;11850.853855926209;9775.223
2024-09-30;10129.69611902663;12107.677687899806;13845.006278623336;15852.279
2024-10-31;10647.515438790757;13356.249944640236;12602.813559766686;17289.648
