;ESN MAPE;ESN RRMSE;MLP MAPE;MLP RRMSE;RF MAPE;RF RRMSE;WSB-LOCAL MAPE;WSB-LOCAL RRMSE;XGBoost MAPE;XGBoost RRMSE
ASSIS CHATEAUBRIAND;0.178;0.281;0.552;0.398;0.42;0.361;0.426;0.347;0.414;0.345
ASTORGA;0.431;0.477;0.237;0.308;0.229;0.307;0.238;0.318;0.255;0.335
BARRACÃO;0.234;0.289;0.218;0.23;0.268;0.295;0.241;0.273;0.243;0.28
CAMPO LARGO;0.359;0.366;0.379;0.335;0.356;0.336;0.336;0.31;0.321;0.326
CAPANEMA;0.471;0.535;0.551;0.431;0.437;0.396;0.43;0.382;0.365;0.341
CASCAVEL;0.284;0.274;0.286;0.299;0.328;0.326;0.256;0.269;0.257;0.283
CORONEL VIVIDA;0.304;0.345;0.379;0.344;0.288;0.268;0.259;0.245;0.25;0.239
CURITIBA;0.668;0.842;0.251;0.393;0.265;0.296;0.24;0.297;0.309;0.355
FOZ DO IGUAÇU;0.423;0.385;0.567;0.513;0.51;0.438;0.516;0.479;0.519;0.485
GOIOERÊ;0.273;0.255;0.298;0.267;0.276;0.304;0.273;0.266;0.281;0.278
IRATI;0.304;0.369;0.289;0.316;0.272;0.337;0.251;0.357;0.269;0.394
IVAIPORÃ;10.409;10.28;0.271;0.318;0.24;0.307;0.205;0.285;0.192;0.286
JACAREZINHO;199.818;173.726;0.299;0.342;0.333;0.375;0.344;0.376;0.362;0.392
JAGUARIAÍVA;0.291;0.367;0.238;0.275;0.23;0.238;0.228;0.258;0.234;0.273
LONDRINA - CENTRO;0.729;0.687;0.198;0.213;0.258;0.273;0.248;0.273;0.234;0.285
PALMAS;0.866;0.84;0.233;0.25;0.21;0.233;0.245;0.245;0.264;0.274
PARANAGUÁ;0.182;0.236;0.198;0.217;0.173;0.227;0.189;0.261;0.189;0.261
PARANAVAÍ;0.377;0.425;0.451;0.387;0.424;0.386;0.395;0.386;0.395;0.386
PINHAIS;0.248;0.343;0.336;0.364;0.2;0.211;0.191;0.211;0.207;0.228
PITANGA;0.233;0.262;0.228;0.256;0.246;0.291;0.269;0.293;0.3;0.327
QUEDAS DO IGUAÇU;0.333;0.343;0.313;0.328;0.223;0.249;0.227;0.243;0.228;0.25
TELÊMACO BORBA;0.229;0.288;0.277;0.257;0.277;0.265;0.224;0.229;0.222;0.238
UMUARAMA;0.236;0.279;0.377;0.301;0.363;0.325;0.38;0.337;0.38;0.337
UNIÃO DA VITÓRIA;0.346;0.376;0.251;0.293;0.253;0.26;0.241;0.273;0.215;0.24
MÉDIAS;9.09275;8.03625;0.31987499999999996;0.31812499999999994;0.2949583333333334;0.3043333333333333;0.28550000000000003;0.3005416666666667;0.2877083333333334;0.3099166666666667
MELHOR;5;4;4;6;4;6;6;7;6;4
PIOR;10;14;10;3;3;3;1;2;2;4
SCORE (MELHOR - PIOR);-5;-10;-6;3;1;3;5;5;4;0
