;MAPE;RRMSE
ESN;0.33440064683935944;0.34442054997183946
MLP;0.21901196098740383;0.22934389870623784
RF;0.22094874471148798;0.27323829485295864
XGBoost;0.1987033949302178;0.2828542430224439
