;MAPE;RRMSE
ESN;0.14296794690202022;0.14296794690202022
MLP;0.21670488827001103;0.21670488827001103
RF;0.09763463968588629;0.09763463968588629
XGBoost;0.2933895391705069;0.2933895391705069
