DATA;MLP;RF;XGBoost
2023-11-30;4;4;5
2023-12-31;5;5;5
2024-01-31;1;5;5
2024-02-29;6;0;2
2024-03-31;6;4;9
2024-04-30;6;8;8
2024-05-31;1;7;1
2024-06-30;1;1;1
2024-07-31;1;1;2
2024-08-31;6;4;0
2024-09-30;7;4;5
2024-10-31;9;8;8
