;ESN MAPE;ESN RRMSE;MLP MAPE;MLP RRMSE;RF MAPE;RF RRMSE;WSB-GLOBAL MAPE;WSB-GLOBAL RRMSE;XGBoost MAPE;XGBoost RRMSE
ASSIS CHATEAUBRIAND;0.48;0.456;0.772;0.564;0.745;0.532;0.48;0.455;0.542;0.409
ASTORGA;0.188;0.228;0.184;0.193;0.169;0.194;0.147;0.177;0.117;0.127
BARRACÃO;0.182;0.22;0.188;0.202;0.194;0.238;0.167;0.2;0.153;0.18
CAMPO LARGO;0.319;0.276;0.448;0.348;0.403;0.316;0.323;0.269;0.445;0.359
CAPANEMA;0.49;0.409;0.678;0.517;0.648;0.467;0.49;0.409;0.584;0.453
CASCAVEL;0.295;0.291;0.403;0.356;0.406;0.333;0.299;0.269;0.43;0.379
CORONEL VIVIDA;0.18;0.23;0.219;0.215;0.204;0.257;0.169;0.215;0.169;0.224
CURITIBA;0.263;0.287;0.633;0.546;0.217;0.212;0.242;0.251;0.281;0.258
FOZ DO IGUAÇU;0.23;0.256;0.632;0.627;0.307;0.349;0.212;0.236;0.259;0.318
GOIOERÊ;0.357;0.446;0.678;0.655;0.507;0.525;0.382;0.452;0.502;0.537
IRATI;0.264;0.291;0.296;0.293;0.317;0.319;0.226;0.261;0.293;0.295
IVAIPORÃ;0.236;0.27;0.288;0.294;0.26;0.25;0.229;0.254;0.194;0.201
JACAREZINHO;0.331;0.293;0.488;0.411;0.385;0.348;0.297;0.266;0.38;0.342
JAGUARIAÍVA;0.247;0.296;0.242;0.242;0.218;0.28;0.218;0.268;0.24;0.267
LONDRINA - CENTRO;0.271;0.314;0.658;0.617;0.383;0.418;0.273;0.313;0.389;0.396
PALMAS;0.111;0.181;0.119;0.142;0.157;0.213;0.117;0.179;0.138;0.203
PARANAGUÁ;0.204;0.259;0.319;0.321;0.25;0.285;0.203;0.258;0.215;0.233
PARANAVAÍ;0.366;0.375;0.545;0.436;0.535;0.458;0.366;0.375;0.536;0.47
PINHAIS;0.181;0.193;0.312;0.325;0.252;0.262;0.172;0.18;0.248;0.259
PITANGA;0.23;0.236;0.243;0.238;0.247;0.242;0.201;0.209;0.231;0.219
QUEDAS DO IGUAÇU;0.196;0.239;0.244;0.26;0.234;0.264;0.196;0.228;0.243;0.259
TELÊMACO BORBA;0.264;0.28;0.295;0.266;0.25;0.26;0.237;0.251;0.259;0.262
UMUARAMA;0.424;0.452;0.708;0.539;0.601;0.475;0.434;0.421;0.44;0.409
UNIÃO DA VITÓRIA;0.226;0.314;0.273;0.298;0.255;0.336;0.204;0.297;0.272;0.312
MÉDIAS;0.27229166666666665;0.29550000000000004;0.4110416666666667;0.37104166666666666;0.3393333333333333;0.3263750000000001;0.2618333333333333;0.278875;0.3150000000000001;0.30712500000000004
MELHOR;10;3;0;3;2;1;14;14;4;6
PIOR;2;3;17;11;4;7;0;0;1;3
SCORE (MELHOR - PIOR);8;0;-17;-8;-2;-6;14;14;3;3
