DATA;ESN;MLP;RF;XGBoost
2023-11-30;10870.924193570572;11378.722772456777;10147.186500513228;10825.32
2023-12-31;10293.73655069145;11110.430021903207;9470.41195476154;8757.664
2024-01-31;8136.847776086559;7517.756840834055;8143.895402522946;7748.145
2024-02-29;7824.753161978721;10016.569365276619;8794.77075352312;8408.922
2024-03-31;11167.759259801453;10407.228628305746;10279.66924378546;10619.437
2024-04-30;9813.468955512466;10872.422287510642;11304.740451301794;11621.952
2024-05-31;10850.015081425636;11100.214811197773;11131.113314684957;10498.641
2024-06-30;5218.018824079013;8492.157004180668;7567.065257345009;7156.0254
2024-07-31;4418.82507637179;6263.719173152728;5841.776883420993;5674.5503
2024-08-31;7591.039368564867;8233.771162495172;8118.187323838282;7535.8296
2024-09-30;5916.512496784452;8901.845515573235;7106.421887002247;7052.02
2024-10-31;7718.910798805707;9644.673401463451;9109.766176621406;9283.789
