;ESN MAPE;ESN RRMSE;MLP MAPE;MLP RRMSE;RF MAPE;RF RRMSE;WSB-GLOBAL MAPE;WSB-GLOBAL RRMSE;XGBoost MAPE;XGBoost RRMSE
ASSIS CHATEAUBRIAND;0.321;0.335;0.415;0.52;0.204;0.242;0.321;0.335;0.211;0.31
ASTORGA;0.219;0.24;0.389;0.4;0.176;0.184;0.209;0.225;0.093;0.116
BARRACÃO;0.126;0.143;0.248;0.255;0.139;0.15;0.119;0.14;0.155;0.168
CAMPO LARGO;0.184;0.215;0.342;0.346;0.22;0.247;0.203;0.223;0.245;0.248
CAPANEMA;0.332;0.345;0.382;0.485;0.261;0.292;0.332;0.345;0.177;0.279
CASCAVEL;0.169;0.233;0.344;0.37;0.188;0.214;0.18;0.231;0.232;0.255
CORONEL VIVIDA;0.17;0.202;0.275;0.298;0.179;0.203;0.162;0.201;0.196;0.222
CURITIBA;0.306;0.322;0.298;0.305;0.053;0.057;0.226;0.24;0.108;0.115
FOZ DO IGUAÇU;0.225;0.237;0.236;0.252;0.103;0.112;0.194;0.202;0.075;0.09
GOIOERÊ;0.438;0.466;0.141;0.143;0.193;0.186;0.395;0.426;0.263;0.263
IRATI;0.148;0.17;0.303;0.307;0.126;0.13;0.153;0.164;0.147;0.169
IVAIPORÃ;0.213;0.247;0.324;0.373;0.116;0.131;0.201;0.233;0.122;0.12
JACAREZINHO;0.182;0.235;0.356;0.396;0.13;0.148;0.149;0.204;0.139;0.162
JAGUARIAÍVA;0.174;0.206;0.335;0.344;0.164;0.181;0.16;0.199;0.155;0.181
LONDRINA - CENTRO;0.169;0.178;0.201;0.275;0.092;0.102;0.162;0.17;0.107;0.105
PALMAS;0.09;0.096;0.294;0.296;0.091;0.097;0.099;0.103;0.13;0.131
PARANAGUÁ;0.14;0.227;0.335;0.376;0.111;0.145;0.139;0.227;0.124;0.143
PARANAVAÍ;0.305;0.357;0.356;0.448;0.223;0.304;0.305;0.356;0.235;0.336
PINHAIS;0.197;0.214;0.072;0.074;0.061;0.07;0.142;0.162;0.076;0.076
PITANGA;0.145;0.17;0.327;0.331;0.124;0.166;0.143;0.171;0.164;0.182
QUEDAS DO IGUAÇU;0.183;0.191;0.224;0.251;0.139;0.139;0.174;0.179;0.133;0.139
TELÊMACO BORBA;0.201;0.224;0.278;0.314;0.152;0.183;0.187;0.217;0.166;0.19
UMUARAMA;0.198;0.268;0.337;0.398;0.123;0.145;0.175;0.237;0.125;0.154
UNIÃO DA VITÓRIA;0.118;0.136;0.242;0.246;0.165;0.197;0.119;0.142;0.191;0.22
MÉDIAS;0.206375;0.23570833333333338;0.29391666666666666;0.32512500000000005;0.14720833333333339;0.16770833333333326;0.19370833333333337;0.22216666666666673;0.15704166666666666;0.18225
MELHOR;4;3;1;1;12;13;2;2;5;7
PIOR;3;3;21;21;0;0;0;0;0;0
SCORE (MELHOR - PIOR);1;0;-20;-20;12;13;2;2;5;7
