DATA;ESN;MLP;RF;XGBoost
2023-11-30;8039.341743266555;9392.375223064404;8290.721164564713;8277.335
2023-12-31;9601.643486771902;9477.499505115076;8618.366380376405;8277.539
2024-01-31;7450.959603129122;7335.716637070707;7525.716886478589;6412.246
2024-02-29;6902.638442756535;8371.143622916126;8645.3005878641;7946.9424
2024-03-31;9398.112771922408;8877.399934384195;8938.538153028061;8808.973
2024-04-30;9005.072858123442;9422.484289799924;9616.015262228897;10096.048
2024-05-31;7957.82834534653;9020.073439815436;8561.507220922935;8618.633
2024-06-30;5242.013334439333;7080.57468442253;6503.480982376026;6037.9844
2024-07-31;5206.991390510301;6732.2849899230805;5276.693316432248;6299.336
2024-08-31;11107.573609080453;9529.230274185888;8838.032695730282;9558.321
2024-09-30;8342.832983220234;9459.418544279803;9289.141523086113;10527.155
2024-10-31;8446.378597162173;9332.465363229803;9841.25363021235;8540.376
