DATA;ESN;LSTM;MLP;RF;XGBoost
2024-05-31;30962.40350127503;23573.652;28046.098;24212.162;23476.908
2024-06-30;30284.93612496244;21903.049;29060.871;29077.201;28127.63
2024-07-31;24221.59576149964;14342.898;24793.383;25154.104;34706.1
2024-08-31;25238.39461946753;13586.614;29724.797;26483.916;31758.64
2024-09-30;25321.506893587328;13267.669;27482.514;23883.152;29242.418
2024-10-31;26932.643491388542;11503.346;28139.596;24831.342;30386.406
