;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
93;172;205;gbtree;0.49;0.755;-0.2583333333333333
94;172;205;gbtree;0.49;0.755;-0.2583333333333333
95;172;205;gbtree;0.49;0.755;-0.2583333333333333
96;172;205;gbtree;0.49;0.755;-0.2583333333333333
97;172;205;gbtree;0.49;0.755;-0.2583333333333333
98;172;205;gbtree;0.49;0.755;-0.2583333333333333
99;172;205;gbtree;0.49;0.755;-0.2583333333333333
100;172;205;gbtree;0.49;0.755;-0.2583333333333333
101;172;205;gbtree;0.49;0.755;-0.2583333333333333
102;172;205;gbtree;0.49;0.755;-0.2583333333333333
103;172;205;gbtree;0.49;0.755;-0.2583333333333333
104;172;205;gbtree;0.49;0.755;-0.2583333333333333
105;172;205;gbtree;0.49;0.755;-0.2583333333333333
106;172;205;gbtree;0.49;0.755;-0.2583333333333333
107;172;205;gbtree;0.49;0.755;-0.2583333333333333
108;172;205;gbtree;0.49;0.755;-0.2583333333333333
109;172;205;gbtree;0.49;0.755;-0.2583333333333333
110;172;205;gbtree;0.49;0.755;-0.2583333333333333
111;172;205;gbtree;0.49;0.755;-0.2583333333333333
112;172;205;gbtree;0.49;0.755;-0.2583333333333333
113;172;205;gbtree;0.49;0.755;-0.2583333333333333
114;172;205;gbtree;0.49;0.755;-0.2583333333333333
115;172;205;gbtree;0.49;0.755;-0.2583333333333333
116;172;205;gbtree;0.49;0.755;-0.2583333333333333
117;172;205;gbtree;0.49;0.755;-0.2583333333333333
118;172;205;gbtree;0.49;0.755;-0.2583333333333333
119;172;205;gbtree;0.49;0.755;-0.2583333333333333
120;172;205;gbtree;0.49;0.755;-0.2583333333333333
121;172;205;gbtree;0.49;0.755;-0.2583333333333333
122;172;205;gbtree;0.49;0.755;-0.2583333333333333
123;172;205;gbtree;0.49;0.755;-0.2583333333333333
124;172;205;gbtree;0.49;0.755;-0.2583333333333333
125;172;205;gbtree;0.49;0.755;-0.2583333333333333
126;172;205;gbtree;0.49;0.755;-0.2583333333333333
127;172;205;gbtree;0.49;0.755;-0.2583333333333333
128;172;205;gbtree;0.49;0.755;-0.2583333333333333
129;172;205;gbtree;0.49;0.755;-0.2583333333333333
130;172;205;gbtree;0.49;0.755;-0.2583333333333333
131;172;205;gbtree;0.49;0.755;-0.2583333333333333
132;172;205;gbtree;0.49;0.755;-0.2583333333333333
133;172;205;gbtree;0.49;0.755;-0.2583333333333333
134;172;205;gbtree;0.49;0.755;-0.2583333333333333
135;172;205;gbtree;0.49;0.755;-0.2583333333333333
136;172;205;gbtree;0.49;0.755;-0.2583333333333333
137;172;205;gbtree;0.49;0.755;-0.2583333333333333
138;172;205;gbtree;0.49;0.755;-0.2583333333333333
139;172;205;gbtree;0.49;0.755;-0.2583333333333333
140;172;205;gbtree;0.49;0.755;-0.2583333333333333
141;172;205;gbtree;0.49;0.755;-0.2583333333333333
142;172;205;gbtree;0.49;0.755;-0.2583333333333333
143;172;205;gbtree;0.49;0.755;-0.2583333333333333
144;172;205;gbtree;0.49;0.755;-0.2583333333333333
145;172;205;gbtree;0.49;0.755;-0.2583333333333333
146;172;205;gbtree;0.49;0.755;-0.2583333333333333
147;172;205;gbtree;0.49;0.755;-0.2583333333333333
148;172;205;gbtree;0.49;0.755;-0.2583333333333333
149;172;205;gbtree;0.49;0.755;-0.2583333333333333
150;172;205;gbtree;0.49;0.755;-0.2583333333333333
151;172;205;gbtree;0.49;0.755;-0.2583333333333333
152;172;205;gbtree;0.49;0.755;-0.2583333333333333
153;172;205;gbtree;0.49;0.755;-0.2583333333333333
154;172;205;gbtree;0.49;0.755;-0.2583333333333333
155;172;205;gbtree;0.49;0.755;-0.2583333333333333
156;172;205;gbtree;0.49;0.755;-0.2583333333333333
157;172;205;gbtree;0.49;0.755;-0.2583333333333333
158;172;205;gbtree;0.49;0.755;-0.2583333333333333
159;172;205;gbtree;0.49;0.755;-0.2583333333333333
160;172;205;gbtree;0.49;0.755;-0.2583333333333333
161;172;205;gbtree;0.49;0.755;-0.2583333333333333
162;172;205;gbtree;0.49;0.755;-0.2583333333333333
163;172;205;gbtree;0.49;0.755;-0.2583333333333333
164;172;205;gbtree;0.49;0.755;-0.2583333333333333
165;172;205;gbtree;0.49;0.755;-0.2583333333333333
166;172;205;gbtree;0.49;0.755;-0.2583333333333333
167;172;205;gbtree;0.49;0.755;-0.2583333333333333
168;172;205;gbtree;0.49;0.755;-0.2583333333333333
169;172;205;gbtree;0.49;0.755;-0.2583333333333333
170;172;205;gbtree;0.49;0.755;-0.2583333333333333
171;172;205;gbtree;0.49;0.755;-0.2583333333333333
172;172;205;gbtree;0.49;0.755;-0.2583333333333333
173;172;205;gbtree;0.49;0.755;-0.2583333333333333
174;172;205;gbtree;0.49;0.755;-0.2583333333333333
175;172;205;gbtree;0.49;0.755;-0.2583333333333333
176;172;205;gbtree;0.49;0.755;-0.2583333333333333
177;172;205;gbtree;0.49;0.755;-0.2583333333333333
178;172;205;gbtree;0.49;0.755;-0.2583333333333333
179;172;205;gbtree;0.49;0.755;-0.2583333333333333
180;172;205;gbtree;0.49;0.755;-0.2583333333333333
181;172;205;gbtree;0.49;0.755;-0.2583333333333333
182;172;205;gbtree;0.49;0.755;-0.2583333333333333
183;172;205;gbtree;0.49;0.755;-0.2583333333333333
184;172;205;gbtree;0.49;0.755;-0.2583333333333333
185;172;205;gbtree;0.49;0.755;-0.2583333333333333
186;172;205;gbtree;0.49;0.755;-0.2583333333333333
187;172;205;gbtree;0.49;0.755;-0.2583333333333333
188;172;205;gbtree;0.49;0.755;-0.2583333333333333
189;172;205;gbtree;0.49;0.755;-0.2583333333333333
190;172;205;gbtree;0.49;0.755;-0.2583333333333333
191;172;205;gbtree;0.49;0.755;-0.2583333333333333
192;172;205;gbtree;0.49;0.755;-0.2583333333333333
193;172;205;gbtree;0.49;0.755;-0.2583333333333333
194;172;205;gbtree;0.49;0.755;-0.2583333333333333
195;172;205;gbtree;0.49;0.755;-0.2583333333333333
196;172;205;gbtree;0.49;0.755;-0.2583333333333333
197;172;205;gbtree;0.49;0.755;-0.2583333333333333
198;172;205;gbtree;0.49;0.755;-0.2583333333333333
199;172;205;gbtree;0.49;0.755;-0.2583333333333333
200;172;205;gbtree;0.49;0.755;-0.2583333333333333
201;172;205;gbtree;0.49;0.755;-0.2583333333333333
202;172;205;gbtree;0.49;0.755;-0.2583333333333333
203;172;205;gbtree;0.49;0.755;-0.2583333333333333
204;172;205;gbtree;0.49;0.755;-0.2583333333333333
205;172;205;gbtree;0.49;0.755;-0.2583333333333333
206;172;205;gbtree;0.49;0.755;-0.2583333333333333
207;172;205;gbtree;0.49;0.755;-0.2583333333333333
208;172;205;gbtree;0.49;0.755;-0.2583333333333333
209;172;205;gbtree;0.49;0.755;-0.2583333333333333
210;172;205;gbtree;0.49;0.755;-0.2583333333333333
211;172;205;gbtree;0.49;0.755;-0.2583333333333333
212;172;205;gbtree;0.49;0.755;-0.2583333333333333
213;172;205;gbtree;0.49;0.755;-0.2583333333333333
214;172;205;gbtree;0.49;0.755;-0.2583333333333333
215;172;205;gbtree;0.49;0.755;-0.2583333333333333
216;172;205;gbtree;0.49;0.755;-0.2583333333333333
217;172;205;gbtree;0.49;0.755;-0.2583333333333333
218;172;205;gbtree;0.49;0.755;-0.2583333333333333
219;172;205;gbtree;0.49;0.755;-0.2583333333333333
220;172;205;gbtree;0.49;0.755;-0.2583333333333333
221;172;205;gbtree;0.49;0.755;-0.2583333333333333
222;172;205;gbtree;0.49;0.755;-0.2583333333333333
223;172;205;gbtree;0.49;0.755;-0.2583333333333333
224;172;205;gbtree;0.49;0.755;-0.2583333333333333
225;172;205;gbtree;0.49;0.755;-0.2583333333333333
