;Units;Epochs;Batch Size;Activation;Fitness
0;229;352;399;linear;-0.03333333333333333
1;249;94;298;softmax;-0.08333333333333334
2;249;94;298;softmax;-0.08333333333333334
3;244;103;32;softsign;-0.175
4;246;375;222;softsign;-0.18333333333333335
5;284;296;376;mish;-0.2333333333333333
6;284;296;376;mish;-0.2333333333333333
7;284;296;376;mish;-0.2333333333333333
8;284;296;376;mish;-0.2333333333333333
9;284;296;376;mish;-0.2333333333333333
10;284;296;376;mish;-0.2333333333333333
11;284;296;376;mish;-0.2333333333333333
12;284;296;376;mish;-0.2333333333333333
13;284;296;376;mish;-0.2333333333333333
14;284;296;376;mish;-0.2333333333333333
15;284;296;376;mish;-0.2333333333333333
16;284;296;376;mish;-0.2333333333333333
17;284;296;376;mish;-0.2333333333333333
18;284;296;376;mish;-0.2333333333333333
19;284;296;376;mish;-0.2333333333333333
20;284;296;376;mish;-0.2333333333333333
21;284;296;376;mish;-0.2333333333333333
22;284;296;376;mish;-0.2333333333333333
23;284;296;376;mish;-0.2333333333333333
24;284;296;376;mish;-0.2333333333333333
25;284;296;376;mish;-0.2333333333333333
26;284;296;376;mish;-0.2333333333333333
27;284;296;376;mish;-0.2333333333333333
28;284;296;376;mish;-0.2333333333333333
29;284;296;376;mish;-0.2333333333333333
30;284;296;376;mish;-0.2333333333333333
31;284;296;376;mish;-0.2333333333333333
32;284;296;376;mish;-0.2333333333333333
33;284;296;376;mish;-0.2333333333333333
34;284;296;376;mish;-0.2333333333333333
35;284;296;376;mish;-0.2333333333333333
36;284;296;376;mish;-0.2333333333333333
37;284;296;376;mish;-0.2333333333333333
38;284;296;376;mish;-0.2333333333333333
39;284;296;376;mish;-0.2333333333333333
40;284;296;376;mish;-0.2333333333333333
41;284;296;376;mish;-0.2333333333333333
42;284;296;376;mish;-0.2333333333333333
43;284;296;376;mish;-0.2333333333333333
44;284;296;376;mish;-0.2333333333333333
45;284;296;376;mish;-0.2333333333333333
46;284;296;376;mish;-0.2333333333333333
47;284;296;376;mish;-0.2333333333333333
48;284;296;376;mish;-0.2333333333333333
49;284;296;376;mish;-0.2333333333333333
50;284;296;376;mish;-0.2333333333333333
51;284;296;376;mish;-0.2333333333333333
52;284;296;376;mish;-0.2333333333333333
53;284;296;376;mish;-0.2333333333333333
54;284;296;376;mish;-0.2333333333333333
55;284;296;376;mish;-0.2333333333333333
56;284;296;376;mish;-0.2333333333333333
57;284;296;376;mish;-0.2333333333333333
58;284;296;376;mish;-0.2333333333333333
59;284;296;376;mish;-0.2333333333333333
60;284;296;376;mish;-0.2333333333333333
61;284;296;376;mish;-0.2333333333333333
62;284;296;376;mish;-0.2333333333333333
63;284;296;376;mish;-0.2333333333333333
64;284;296;376;mish;-0.2333333333333333
65;284;296;376;mish;-0.2333333333333333
66;284;296;376;mish;-0.2333333333333333
67;284;296;376;mish;-0.2333333333333333
68;284;296;376;mish;-0.2333333333333333
69;284;296;376;mish;-0.2333333333333333
70;284;296;376;mish;-0.2333333333333333
71;284;296;376;mish;-0.2333333333333333
72;284;296;376;mish;-0.2333333333333333
73;284;296;376;mish;-0.2333333333333333
74;284;296;376;mish;-0.2333333333333333
75;284;296;376;mish;-0.2333333333333333
76;284;296;376;mish;-0.2333333333333333
77;284;296;376;mish;-0.2333333333333333
78;284;296;376;mish;-0.2333333333333333
79;284;296;376;mish;-0.2333333333333333
80;284;296;376;mish;-0.2333333333333333
81;284;296;376;mish;-0.2333333333333333
