;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
0;129;197;gblinear;0.58;0.14;-0.15
1;129;197;gblinear;0.58;0.14;-0.15
2;141;312;gbtree;0.08;0.625;-0.18333333333333335
3;394;346;gblinear;0.745;0.03;-0.2
4;394;346;gblinear;0.745;0.03;-0.2
5;394;346;gblinear;0.745;0.03;-0.2
6;394;346;gblinear;0.745;0.03;-0.2
7;394;346;gblinear;0.745;0.03;-0.2
8;394;346;gblinear;0.745;0.03;-0.2
9;394;346;gblinear;0.745;0.03;-0.2
10;394;346;gblinear;0.745;0.03;-0.2
11;394;346;gblinear;0.745;0.03;-0.2
12;394;346;gblinear;0.745;0.03;-0.2
13;394;346;gblinear;0.745;0.03;-0.2
14;394;346;gblinear;0.745;0.03;-0.2
15;394;346;gblinear;0.745;0.03;-0.2
16;394;346;gblinear;0.745;0.03;-0.2
17;394;346;gblinear;0.745;0.03;-0.2
18;394;346;gblinear;0.745;0.03;-0.2
19;394;346;gblinear;0.745;0.03;-0.2
20;394;346;gblinear;0.745;0.03;-0.2
21;394;346;gblinear;0.745;0.03;-0.2
22;394;346;gblinear;0.745;0.03;-0.2
23;394;346;gblinear;0.745;0.03;-0.2
24;394;346;gblinear;0.745;0.03;-0.2
25;394;346;gblinear;0.745;0.03;-0.2
26;394;346;gblinear;0.745;0.03;-0.2
27;394;346;gblinear;0.745;0.03;-0.2
28;394;346;gblinear;0.745;0.03;-0.2
29;394;346;gblinear;0.745;0.03;-0.2
30;394;346;gblinear;0.745;0.03;-0.2
31;394;346;gblinear;0.745;0.03;-0.2
32;394;346;gblinear;0.745;0.03;-0.2
33;394;346;gblinear;0.745;0.03;-0.2
34;394;346;gblinear;0.745;0.03;-0.2
35;394;346;gblinear;0.745;0.03;-0.2
36;394;346;gblinear;0.745;0.03;-0.2
37;394;346;gblinear;0.745;0.03;-0.2
38;394;346;gblinear;0.745;0.03;-0.2
39;394;346;gblinear;0.745;0.03;-0.2
40;394;346;gblinear;0.745;0.03;-0.2
41;394;346;gblinear;0.745;0.03;-0.2
42;394;346;gblinear;0.745;0.03;-0.2
43;394;346;gblinear;0.745;0.03;-0.2
44;394;346;gblinear;0.745;0.03;-0.2
45;394;346;gblinear;0.745;0.03;-0.2
46;394;346;gblinear;0.745;0.03;-0.2
47;394;346;gblinear;0.745;0.03;-0.2
48;394;346;gblinear;0.745;0.03;-0.2
49;394;346;gblinear;0.745;0.03;-0.2
50;394;346;gblinear;0.745;0.03;-0.2
51;394;346;gblinear;0.745;0.03;-0.2
