;Strong_predictor;Weight_g;Fitness
0;XGBoost;-0.346500000000072;0.3811853284441334
1;XGBoost;-0.8850000000000127;0.3567780600603134
2;XGBoost;-0.8850000000000127;0.3567780600603134
3;XGBoost;-0.8850000000000127;0.3567780600603134
4;XGBoost;-0.8850000000000127;0.3567780600603134
5;XGBoost;-0.8850000000000127;0.3567780600603134
6;XGBoost;-0.9595000000000045;0.35363098782748864
7;XGBoost;-0.9595000000000045;0.35363098782748864
8;XGBoost;-0.9595000000000045;0.35363098782748864
9;XGBoost;-0.9595000000000045;0.35363098782748864
10;XGBoost;-0.9595000000000045;0.35363098782748864
11;XGBoost;-0.9595000000000045;0.35363098782748864
12;XGBoost;-0.9595000000000045;0.35363098782748864
13;XGBoost;-0.9595000000000045;0.35363098782748864
14;XGBoost;-0.9595000000000045;0.35363098782748864
15;XGBoost;-0.9595000000000045;0.35363098782748864
16;XGBoost;-0.9595000000000045;0.35363098782748864
17;XGBoost;-0.9595000000000045;0.35363098782748864
18;XGBoost;-0.9595000000000045;0.35363098782748864
19;XGBoost;-0.9595000000000045;0.35363098782748864
20;XGBoost;-0.9710000000000032;0.35315055361451697
21;XGBoost;-0.9710000000000032;0.35315055361451697
22;XGBoost;-0.9710000000000032;0.35315055361451697
23;XGBoost;-0.9710000000000032;0.35315055361451697
24;XGBoost;-0.9710000000000032;0.35315055361451697
25;XGBoost;-0.9710000000000032;0.35315055361451697
26;XGBoost;-0.9710000000000032;0.35315055361451697
27;XGBoost;-0.9710000000000032;0.35315055361451697
28;XGBoost;-0.9710000000000032;0.35315055361451697
29;XGBoost;-0.9710000000000032;0.35315055361451697
30;XGBoost;-0.9710000000000032;0.35315055361451697
31;XGBoost;-0.9710000000000032;0.35315055361451697
32;XGBoost;-0.9895000000000012;0.35238072389291636
33;XGBoost;-0.9895000000000012;0.35238072389291636
34;XGBoost;-0.9895000000000012;0.35238072389291636
35;XGBoost;-0.9895000000000012;0.35238072389291636
36;XGBoost;-0.9895000000000012;0.35238072389291636
37;XGBoost;-0.9895000000000012;0.35238072389291636
38;XGBoost;-0.9895000000000012;0.35238072389291636
39;XGBoost;-0.9895000000000012;0.35238072389291636
40;XGBoost;-0.9895000000000012;0.35238072389291636
41;XGBoost;-0.9895000000000012;0.35238072389291636
42;XGBoost;-0.9895000000000012;0.35238072389291636
43;XGBoost;-0.9895000000000012;0.35238072389291636
44;XGBoost;-0.9895000000000012;0.35238072389291636
45;XGBoost;-0.9895000000000012;0.35238072389291636
46;XGBoost;-0.9895000000000012;0.35238072389291636
47;XGBoost;-0.9895000000000012;0.35238072389291636
48;XGBoost;-0.9895000000000012;0.35238072389291636
49;XGBoost;-0.9895000000000012;0.35238072389291636
50;XGBoost;-0.9895000000000012;0.35238072389291636
51;XGBoost;-0.9895000000000012;0.35238072389291636
52;XGBoost;-0.9895000000000012;0.35238072389291636
53;XGBoost;-0.9895000000000012;0.35238072389291636
54;XGBoost;-0.9895000000000012;0.35238072389291636
55;XGBoost;-0.9895000000000012;0.35238072389291636
56;XGBoost;-0.9895000000000012;0.35238072389291636
57;XGBoost;-0.9895000000000012;0.35238072389291636
58;XGBoost;-0.9895000000000012;0.35238072389291636
59;XGBoost;-0.9895000000000012;0.35238072389291636
60;XGBoost;-0.9895000000000012;0.35238072389291636
61;XGBoost;-0.9895000000000012;0.35238072389291636
62;XGBoost;-0.9895000000000012;0.35238072389291636
63;XGBoost;-0.9895000000000012;0.35238072389291636
64;XGBoost;-0.9895000000000012;0.35238072389291636
65;XGBoost;-0.9895000000000012;0.35238072389291636
66;XGBoost;-0.9895000000000012;0.35238072389291636
67;XGBoost;-0.9895000000000012;0.35238072389291636
68;XGBoost;-0.9895000000000012;0.35238072389291636
69;XGBoost;-0.9895000000000012;0.35238072389291636
70;XGBoost;-0.9895000000000012;0.35238072389291636
71;XGBoost;-0.9895000000000012;0.35238072389291636
72;XGBoost;-0.9895000000000012;0.35238072389291636
73;XGBoost;-0.9895000000000012;0.35238072389291636
74;XGBoost;-0.9895000000000012;0.35238072389291636
75;XGBoost;-0.9895000000000012;0.35238072389291636
76;XGBoost;-0.9895000000000012;0.35238072389291636
77;XGBoost;-0.9895000000000012;0.35238072389291636
78;XGBoost;-0.9895000000000012;0.35238072389291636
79;XGBoost;-0.9895000000000012;0.35238072389291636
80;XGBoost;-0.9895000000000012;0.35238072389291636
81;XGBoost;-0.9895000000000012;0.35238072389291636
82;XGBoost;-0.9895000000000012;0.35238072389291636
83;XGBoost;-0.9895000000000012;0.35238072389291636
84;XGBoost;-0.9895000000000012;0.35238072389291636
85;XGBoost;-0.9895000000000012;0.35238072389291636
86;XGBoost;-0.9895000000000012;0.35238072389291636
87;XGBoost;-0.9895000000000012;0.35238072389291636
88;XGBoost;-0.9895000000000012;0.35238072389291636
89;XGBoost;-0.9895000000000012;0.35238072389291636
90;XGBoost;-0.9895000000000012;0.35238072389291636
91;XGBoost;-0.9895000000000012;0.35238072389291636
92;XGBoost;-0.9895000000000012;0.35238072389291636
93;XGBoost;-0.9895000000000012;0.35238072389291636
94;XGBoost;-0.9895000000000012;0.35238072389291636
95;XGBoost;-0.9895000000000012;0.35238072389291636
96;XGBoost;-0.9895000000000012;0.35238072389291636
97;XGBoost;-0.9895000000000012;0.35238072389291636
98;XGBoost;-0.9895000000000012;0.35238072389291636
99;XGBoost;-0.9895000000000012;0.35238072389291636
