DATA;ESN;MLP;RF;XGBoost;WSB-LOCAL
2024-05-31;14753.838222984186;19237.582574045755;17772.222517477647;15613.706;15613.705564141273
2024-06-30;13536.685125493912;16934.926531033398;14790.895458586248;12245.154;12665.201590448612
2024-07-31;13705.656941068806;15497.723544358201;13371.55871766635;13637.699;13604.999372905791
2024-08-31;18760.31731449019;13521.232883279768;17883.713371253503;17001.77;17655.291235755332
2024-09-30;11941.339457291804;18479.812259500344;16229.415819365819;15104.369;15846.90005385336
2024-10-31;11891.660505630412;18642.43004304667;14877.444072009863;14940.762;14888.524577890274
