;MAPE;RRMSE
ESN;0.36077558974804047;0.35746704875307234
MLP;0.281085053174791;0.290199717142206
RF;0.261833041384935;0.2869825761960438
XGBoost;0.17911331789128315;0.23319709991016674
WSB-LOCAL;0.15744871766002963;0.18595403338545818
WSB-GLOBAL;0.15744871766002963;0.18595403338545818
