;MAPE;RRMSE
ESN;0.5046304715300219;0.5085548975978766
MLP;0.6231148677710492;0.45108199421107836
RF;0.5032963687774233;0.40164338123140364
XGBoost;0.41249698160931475;0.33827574261728693
WSB-LOCAL;0.4090169786910634;0.3489528006464177
WSB-GLOBAL;0.4090169786910634;0.3489528006464177
