DATA;ESN;MLP;RF;XGBoost;WSB
2024-08-31;21545.628412257105;15993.745841722579;19749.906247836534;19946.738;19799.067971115415
2024-09-30;18350.37546382418;14104.89336066042;20121.764672908183;18099.865;18221.485131516416
2024-10-31;19216.38815849644;15710.041492892233;19074.131047050858;18400.17;18887.625304741705
