DATA;ESN;MLP;RF;XGBoost;WSB-GLOBAL
2024-08-31;16636.752145809678;12526.171300840899;13632.844576846543;13095.94;15760.401333992251
2024-09-30;14242.456904578805;10804.656220080267;16761.947614673372;16479.943;14831.132906736028
2024-10-31;17811.913909846975;13891.502043195409;22464.05676477884;22073.262;18914.95827549389
