;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
0;175;32;gblinear;0.735;0.28500000000000003;-0.4
1;221;280;gbtree;0.71;0.165;-0.575
2;221;280;gbtree;0.71;0.165;-0.575
3;207;73;gbtree;0.595;0.725;-0.625
4;207;73;gbtree;0.595;0.725;-0.625
5;207;73;gbtree;0.595;0.725;-0.625
6;207;73;gbtree;0.595;0.725;-0.625
7;207;73;gbtree;0.595;0.725;-0.625
8;207;73;gbtree;0.595;0.725;-0.625
9;207;73;gbtree;0.595;0.725;-0.625
10;207;73;gbtree;0.595;0.725;-0.625
11;207;73;gbtree;0.595;0.725;-0.625
12;207;73;gbtree;0.595;0.725;-0.625
13;207;73;gbtree;0.595;0.725;-0.625
14;207;73;gbtree;0.595;0.725;-0.625
15;207;73;gbtree;0.595;0.725;-0.625
16;207;73;gbtree;0.595;0.725;-0.625
17;207;73;gbtree;0.595;0.725;-0.625
18;207;73;gbtree;0.595;0.725;-0.625
19;207;73;gbtree;0.595;0.725;-0.625
20;207;73;gbtree;0.595;0.725;-0.625
21;207;73;gbtree;0.595;0.725;-0.625
22;207;73;gbtree;0.595;0.725;-0.625
23;207;73;gbtree;0.595;0.725;-0.625
24;207;73;gbtree;0.595;0.725;-0.625
25;207;73;gbtree;0.595;0.725;-0.625
26;207;73;gbtree;0.595;0.725;-0.625
27;207;73;gbtree;0.595;0.725;-0.625
28;207;73;gbtree;0.595;0.725;-0.625
29;207;73;gbtree;0.595;0.725;-0.625
30;207;73;gbtree;0.595;0.725;-0.625
31;207;73;gbtree;0.595;0.725;-0.625
32;207;73;gbtree;0.595;0.725;-0.625
33;207;73;gbtree;0.595;0.725;-0.625
34;207;73;gbtree;0.595;0.725;-0.625
35;207;73;gbtree;0.595;0.725;-0.625
36;207;73;gbtree;0.595;0.725;-0.625
37;207;73;gbtree;0.595;0.725;-0.625
38;207;73;gbtree;0.595;0.725;-0.625
39;207;73;gbtree;0.595;0.725;-0.625
40;207;73;gbtree;0.595;0.725;-0.625
41;207;73;gbtree;0.595;0.725;-0.625
42;207;73;gbtree;0.595;0.725;-0.625
43;207;73;gbtree;0.595;0.725;-0.625
44;207;73;gbtree;0.595;0.725;-0.625
45;207;73;gbtree;0.595;0.725;-0.625
46;207;73;gbtree;0.595;0.725;-0.625
47;207;73;gbtree;0.595;0.725;-0.625
48;207;73;gbtree;0.595;0.725;-0.625
49;207;73;gbtree;0.595;0.725;-0.625
50;207;73;gbtree;0.595;0.725;-0.625
51;207;73;gbtree;0.595;0.725;-0.625
52;207;73;gbtree;0.595;0.725;-0.625
53;207;73;gbtree;0.595;0.725;-0.625
54;207;73;gbtree;0.595;0.725;-0.625
55;207;73;gbtree;0.595;0.725;-0.625
56;207;73;gbtree;0.595;0.725;-0.625
57;207;73;gbtree;0.595;0.725;-0.625
58;207;73;gbtree;0.595;0.725;-0.625
59;207;73;gbtree;0.595;0.725;-0.625
60;207;73;gbtree;0.595;0.725;-0.625
61;207;73;gbtree;0.595;0.725;-0.625
62;207;73;gbtree;0.595;0.725;-0.625
63;207;73;gbtree;0.595;0.725;-0.625
64;207;73;gbtree;0.595;0.725;-0.625
65;207;73;gbtree;0.595;0.725;-0.625
66;207;73;gbtree;0.595;0.725;-0.625
67;207;73;gbtree;0.595;0.725;-0.625
68;207;73;gbtree;0.595;0.725;-0.625
69;207;73;gbtree;0.595;0.725;-0.625
70;207;73;gbtree;0.595;0.725;-0.625
71;207;73;gbtree;0.595;0.725;-0.625
72;207;73;gbtree;0.595;0.725;-0.625
73;207;73;gbtree;0.595;0.725;-0.625
74;207;73;gbtree;0.595;0.725;-0.625
75;207;73;gbtree;0.595;0.725;-0.625
76;207;73;gbtree;0.595;0.725;-0.625
77;207;73;gbtree;0.595;0.725;-0.625
78;207;73;gbtree;0.595;0.725;-0.625
79;207;73;gbtree;0.595;0.725;-0.625
80;207;73;gbtree;0.595;0.725;-0.625
81;207;73;gbtree;0.595;0.725;-0.625
82;207;73;gbtree;0.595;0.725;-0.625
83;207;73;gbtree;0.595;0.725;-0.625
84;207;73;gbtree;0.595;0.725;-0.625
85;207;73;gbtree;0.595;0.725;-0.625
86;207;73;gbtree;0.595;0.725;-0.625
87;207;73;gbtree;0.595;0.725;-0.625
88;207;73;gbtree;0.595;0.725;-0.625
89;207;73;gbtree;0.595;0.725;-0.625
90;207;73;gbtree;0.595;0.725;-0.625
91;207;73;gbtree;0.595;0.725;-0.625
92;207;73;gbtree;0.595;0.725;-0.625
93;207;73;gbtree;0.595;0.725;-0.625
94;207;73;gbtree;0.595;0.725;-0.625
95;207;73;gbtree;0.595;0.725;-0.625
96;207;73;gbtree;0.595;0.725;-0.625
97;207;73;gbtree;0.595;0.725;-0.625
98;207;73;gbtree;0.595;0.725;-0.625
99;207;73;gbtree;0.595;0.725;-0.625
100;207;73;gbtree;0.595;0.725;-0.625
101;207;73;gbtree;0.595;0.725;-0.625
102;207;73;gbtree;0.595;0.725;-0.625
103;207;73;gbtree;0.595;0.725;-0.625
104;207;73;gbtree;0.595;0.725;-0.625
105;207;73;gbtree;0.595;0.725;-0.625
106;207;73;gbtree;0.595;0.725;-0.625
107;207;73;gbtree;0.595;0.725;-0.625
108;207;73;gbtree;0.595;0.725;-0.625
109;207;73;gbtree;0.595;0.725;-0.625
110;207;73;gbtree;0.595;0.725;-0.625
111;207;73;gbtree;0.595;0.725;-0.625
112;207;73;gbtree;0.595;0.725;-0.625
113;207;73;gbtree;0.595;0.725;-0.625
114;207;73;gbtree;0.595;0.725;-0.625
115;207;73;gbtree;0.595;0.725;-0.625
116;207;73;gbtree;0.595;0.725;-0.625
117;207;73;gbtree;0.595;0.725;-0.625
118;207;73;gbtree;0.595;0.725;-0.625
119;207;73;gbtree;0.595;0.725;-0.625
120;207;73;gbtree;0.595;0.725;-0.625
121;207;73;gbtree;0.595;0.725;-0.625
122;207;73;gbtree;0.595;0.725;-0.625
123;207;73;gbtree;0.595;0.725;-0.625
124;207;73;gbtree;0.595;0.725;-0.625
125;207;73;gbtree;0.595;0.725;-0.625
126;207;73;gbtree;0.595;0.725;-0.625
127;207;73;gbtree;0.595;0.725;-0.625
128;207;73;gbtree;0.595;0.725;-0.625
129;207;73;gbtree;0.595;0.725;-0.625
130;207;73;gbtree;0.595;0.725;-0.625
131;207;73;gbtree;0.595;0.725;-0.625
132;207;73;gbtree;0.595;0.725;-0.625
133;207;73;gbtree;0.595;0.725;-0.625
134;207;73;gbtree;0.595;0.725;-0.625
135;207;73;gbtree;0.595;0.725;-0.625
136;207;73;gbtree;0.595;0.725;-0.625
137;207;73;gbtree;0.595;0.725;-0.625
138;207;73;gbtree;0.595;0.725;-0.625
139;207;73;gbtree;0.595;0.725;-0.625
140;207;73;gbtree;0.595;0.725;-0.625
141;207;73;gbtree;0.595;0.725;-0.625
142;207;73;gbtree;0.595;0.725;-0.625
143;207;73;gbtree;0.595;0.725;-0.625
144;207;73;gbtree;0.595;0.725;-0.625
145;207;73;gbtree;0.595;0.725;-0.625
146;207;73;gbtree;0.595;0.725;-0.625
147;207;73;gbtree;0.595;0.725;-0.625
148;207;73;gbtree;0.595;0.725;-0.625
149;207;73;gbtree;0.595;0.725;-0.625
150;207;73;gbtree;0.595;0.725;-0.625
151;207;73;gbtree;0.595;0.725;-0.625
152;207;73;gbtree;0.595;0.725;-0.625
153;207;73;gbtree;0.595;0.725;-0.625
154;207;73;gbtree;0.595;0.725;-0.625
155;207;73;gbtree;0.595;0.725;-0.625
156;207;73;gbtree;0.595;0.725;-0.625
157;207;73;gbtree;0.595;0.725;-0.625
158;207;73;gbtree;0.595;0.725;-0.625
159;207;73;gbtree;0.595;0.725;-0.625
160;207;73;gbtree;0.595;0.725;-0.625
161;207;73;gbtree;0.595;0.725;-0.625
162;207;73;gbtree;0.595;0.725;-0.625
163;207;73;gbtree;0.595;0.725;-0.625
164;207;73;gbtree;0.595;0.725;-0.625
165;207;73;gbtree;0.595;0.725;-0.625
166;207;73;gbtree;0.595;0.725;-0.625
167;207;73;gbtree;0.595;0.725;-0.625
168;207;73;gbtree;0.595;0.725;-0.625
169;207;73;gbtree;0.595;0.725;-0.625
170;207;73;gbtree;0.595;0.725;-0.625
171;207;73;gbtree;0.595;0.725;-0.625
172;207;73;gbtree;0.595;0.725;-0.625
173;207;73;gbtree;0.595;0.725;-0.625
174;207;73;gbtree;0.595;0.725;-0.625
175;207;73;gbtree;0.595;0.725;-0.625
176;207;73;gbtree;0.595;0.725;-0.625
177;207;73;gbtree;0.595;0.725;-0.625
178;207;73;gbtree;0.595;0.725;-0.625
179;207;73;gbtree;0.595;0.725;-0.625
180;207;73;gbtree;0.595;0.725;-0.625
181;207;73;gbtree;0.595;0.725;-0.625
182;207;73;gbtree;0.595;0.725;-0.625
183;207;73;gbtree;0.595;0.725;-0.625
