;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
0;229;352;gbtree;0.5;0.45;-0.55
1;42;249;gbtree;0.68;0.555;-0.575
2;42;249;gbtree;0.68;0.555;-0.575
3;42;249;gbtree;0.68;0.555;-0.575
4;42;249;gbtree;0.68;0.555;-0.575
5;42;249;gbtree;0.68;0.555;-0.575
6;42;249;gbtree;0.68;0.555;-0.575
7;42;249;gbtree;0.68;0.555;-0.575
8;42;249;gbtree;0.68;0.555;-0.575
9;42;249;gbtree;0.68;0.555;-0.575
10;42;249;gbtree;0.68;0.555;-0.575
11;42;249;gbtree;0.68;0.555;-0.575
12;42;249;gbtree;0.68;0.555;-0.575
13;42;249;gbtree;0.68;0.555;-0.575
14;22;199;gbtree;0.525;0.17;-0.6000000000000001
15;22;199;gbtree;0.525;0.17;-0.6000000000000001
16;22;199;gbtree;0.525;0.17;-0.6000000000000001
17;22;199;gbtree;0.525;0.17;-0.6000000000000001
18;22;199;gbtree;0.525;0.17;-0.6000000000000001
19;22;199;gbtree;0.525;0.17;-0.6000000000000001
20;22;199;gbtree;0.525;0.17;-0.6000000000000001
21;22;199;gbtree;0.525;0.17;-0.6000000000000001
22;22;199;gbtree;0.525;0.17;-0.6000000000000001
23;22;199;gbtree;0.525;0.17;-0.6000000000000001
24;22;199;gbtree;0.525;0.17;-0.6000000000000001
25;22;199;gbtree;0.525;0.17;-0.6000000000000001
26;22;199;gbtree;0.525;0.17;-0.6000000000000001
27;22;199;gbtree;0.525;0.17;-0.6000000000000001
28;22;199;gbtree;0.525;0.17;-0.6000000000000001
29;22;199;gbtree;0.525;0.17;-0.6000000000000001
30;22;199;gbtree;0.525;0.17;-0.6000000000000001
31;22;199;gbtree;0.525;0.17;-0.6000000000000001
32;22;199;gbtree;0.525;0.17;-0.6000000000000001
33;22;199;gbtree;0.525;0.17;-0.6000000000000001
34;22;199;gbtree;0.525;0.17;-0.6000000000000001
35;22;199;gbtree;0.525;0.17;-0.6000000000000001
36;22;199;gbtree;0.525;0.17;-0.6000000000000001
37;22;199;gbtree;0.525;0.17;-0.6000000000000001
38;22;199;gbtree;0.525;0.17;-0.6000000000000001
