;OTIMIZADOR;MODELO;CLASSES;SEED;Hidden Layers;Alpha;Activation;Fitness
333;PSO;MLP;3;2000;313;0.278;relu;-0.675
334;PSO;MLP;3;2000;313;0.278;relu;-0.675
335;PSO;MLP;3;2000;313;0.278;relu;-0.675
336;PSO;MLP;3;2000;313;0.278;relu;-0.675
337;PSO;MLP;3;2000;313;0.278;relu;-0.675
338;PSO;MLP;3;2000;313;0.278;relu;-0.675
339;PSO;MLP;3;2000;313;0.278;relu;-0.675
340;PSO;MLP;3;2000;313;0.278;relu;-0.675
341;PSO;MLP;3;2000;313;0.278;relu;-0.675
342;PSO;MLP;3;2000;313;0.278;relu;-0.675
343;PSO;MLP;3;2000;313;0.278;relu;-0.675
344;PSO;MLP;3;2000;313;0.278;relu;-0.675
345;PSO;MLP;3;2000;313;0.278;relu;-0.675
346;PSO;MLP;3;2000;313;0.278;relu;-0.675
347;PSO;MLP;3;2000;313;0.278;relu;-0.675
348;PSO;MLP;3;2000;313;0.278;relu;-0.675
349;PSO;MLP;3;2000;313;0.278;relu;-0.675
350;PSO;MLP;3;2000;313;0.278;relu;-0.675
351;PSO;MLP;3;2000;313;0.278;relu;-0.675
352;PSO;MLP;3;2000;313;0.278;relu;-0.675
353;PSO;MLP;3;2000;313;0.278;relu;-0.675
354;PSO;MLP;3;2000;313;0.278;relu;-0.675
355;PSO;MLP;3;2000;313;0.278;relu;-0.675
356;PSO;MLP;3;2000;313;0.278;relu;-0.675
357;PSO;MLP;3;2000;313;0.278;relu;-0.675
358;PSO;MLP;3;2000;313;0.278;relu;-0.675
359;PSO;MLP;3;2000;313;0.278;relu;-0.675
360;PSO;MLP;3;2000;313;0.278;relu;-0.675
361;PSO;MLP;3;2000;313;0.278;relu;-0.675
362;PSO;MLP;3;2000;313;0.278;relu;-0.675
363;PSO;MLP;3;2000;313;0.278;relu;-0.675
364;PSO;MLP;3;2000;313;0.278;relu;-0.675
365;PSO;MLP;3;2000;313;0.278;relu;-0.675
366;PSO;MLP;3;2000;313;0.278;relu;-0.675
367;PSO;MLP;3;2000;313;0.278;relu;-0.675
368;PSO;MLP;3;2000;313;0.278;relu;-0.675
369;PSO;MLP;3;2000;313;0.278;relu;-0.675
370;PSO;MLP;3;2000;313;0.278;relu;-0.675
371;PSO;MLP;3;2000;313;0.278;relu;-0.675
372;PSO;MLP;3;2000;313;0.278;relu;-0.675
373;PSO;MLP;3;2000;313;0.278;relu;-0.675
374;PSO;MLP;3;2000;313;0.278;relu;-0.675
375;PSO;MLP;3;2000;313;0.278;relu;-0.675
376;PSO;MLP;3;2000;313;0.278;relu;-0.675
377;PSO;MLP;3;2000;313;0.278;relu;-0.675
378;PSO;MLP;3;2000;313;0.278;relu;-0.675
379;PSO;MLP;3;2000;313;0.278;relu;-0.675
380;PSO;MLP;3;2000;313;0.278;relu;-0.675
381;PSO;MLP;3;2000;313;0.278;relu;-0.675
382;PSO;MLP;3;2000;313;0.278;relu;-0.675
383;PSO;MLP;3;2000;313;0.278;relu;-0.675
384;PSO;MLP;3;2000;313;0.278;relu;-0.675
385;PSO;MLP;3;2000;313;0.278;relu;-0.675
386;PSO;MLP;3;2000;313;0.278;relu;-0.675
387;PSO;MLP;3;2000;313;0.278;relu;-0.675
388;PSO;MLP;3;2000;313;0.278;relu;-0.675
389;PSO;MLP;3;2000;313;0.278;relu;-0.675
390;PSO;MLP;3;2000;313;0.278;relu;-0.675
391;PSO;MLP;3;2000;313;0.278;relu;-0.675
392;PSO;MLP;3;2000;313;0.278;relu;-0.675
393;PSO;MLP;3;2000;313;0.278;relu;-0.675
394;PSO;MLP;3;2000;313;0.278;relu;-0.675
395;PSO;MLP;3;2000;313;0.278;relu;-0.675
396;PSO;MLP;3;2000;313;0.278;relu;-0.675
397;PSO;MLP;3;2000;313;0.278;relu;-0.675
398;PSO;MLP;3;2000;313;0.278;relu;-0.675
399;PSO;MLP;3;2000;313;0.278;relu;-0.675
400;PSO;MLP;3;2000;313;0.278;relu;-0.675
401;PSO;MLP;3;2000;313;0.278;relu;-0.675
402;PSO;MLP;3;2000;313;0.278;relu;-0.675
403;PSO;MLP;3;2000;313;0.278;relu;-0.675
404;PSO;MLP;3;2000;313;0.278;relu;-0.675
405;PSO;MLP;3;2000;313;0.278;relu;-0.675
406;PSO;MLP;3;2000;313;0.278;relu;-0.675
407;PSO;MLP;3;2000;313;0.278;relu;-0.675
408;PSO;MLP;3;2000;313;0.278;relu;-0.675
409;PSO;MLP;3;2000;313;0.278;relu;-0.675
410;PSO;MLP;3;2000;313;0.278;relu;-0.675
411;PSO;MLP;3;2000;313;0.278;relu;-0.675
412;PSO;MLP;3;2000;313;0.278;relu;-0.675
413;PSO;MLP;3;2000;313;0.278;relu;-0.675
414;PSO;MLP;3;2000;313;0.278;relu;-0.675
