;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
0;219;223;gblinear;0.905;0.315;-0.425
1;219;223;gblinear;0.905;0.315;-0.425
2;219;223;gblinear;0.905;0.315;-0.425
3;215;322;gblinear;0.23;0.095;-0.5
4;215;322;gblinear;0.23;0.095;-0.5
5;58;185;gbtree;0.47000000000000003;0.34500000000000003;-0.525
6;58;185;gbtree;0.47000000000000003;0.34500000000000003;-0.525
7;58;185;gbtree;0.47000000000000003;0.34500000000000003;-0.525
8;58;185;gbtree;0.47000000000000003;0.34500000000000003;-0.525
9;120;132;gbtree;0.77;0.895;-0.6000000000000001
10;120;132;gbtree;0.77;0.895;-0.6000000000000001
11;120;132;gbtree;0.77;0.895;-0.6000000000000001
12;120;132;gbtree;0.77;0.895;-0.6000000000000001
13;120;132;gbtree;0.77;0.895;-0.6000000000000001
14;120;132;gbtree;0.77;0.895;-0.6000000000000001
15;120;132;gbtree;0.77;0.895;-0.6000000000000001
16;120;132;gbtree;0.77;0.895;-0.6000000000000001
17;120;132;gbtree;0.77;0.895;-0.6000000000000001
18;120;132;gbtree;0.77;0.895;-0.6000000000000001
19;120;132;gbtree;0.77;0.895;-0.6000000000000001
20;120;132;gbtree;0.77;0.895;-0.6000000000000001
21;120;132;gbtree;0.77;0.895;-0.6000000000000001
22;120;132;gbtree;0.77;0.895;-0.6000000000000001
23;120;132;gbtree;0.77;0.895;-0.6000000000000001
24;120;132;gbtree;0.77;0.895;-0.6000000000000001
25;120;132;gbtree;0.77;0.895;-0.6000000000000001
26;120;132;gbtree;0.77;0.895;-0.6000000000000001
27;120;132;gbtree;0.77;0.895;-0.6000000000000001
28;120;132;gbtree;0.77;0.895;-0.6000000000000001
29;120;132;gbtree;0.77;0.895;-0.6000000000000001
30;120;132;gbtree;0.77;0.895;-0.6000000000000001
31;120;132;gbtree;0.77;0.895;-0.6000000000000001
32;120;132;gbtree;0.77;0.895;-0.6000000000000001
33;120;132;gbtree;0.77;0.895;-0.6000000000000001
34;120;132;gbtree;0.77;0.895;-0.6000000000000001
35;120;132;gbtree;0.77;0.895;-0.6000000000000001
36;120;132;gbtree;0.77;0.895;-0.6000000000000001
37;120;132;gbtree;0.77;0.895;-0.6000000000000001
38;120;132;gbtree;0.77;0.895;-0.6000000000000001
39;120;132;gbtree;0.77;0.895;-0.6000000000000001
40;120;132;gbtree;0.77;0.895;-0.6000000000000001
41;120;132;gbtree;0.77;0.895;-0.6000000000000001
42;120;132;gbtree;0.77;0.895;-0.6000000000000001
43;120;132;gbtree;0.77;0.895;-0.6000000000000001
44;120;132;gbtree;0.77;0.895;-0.6000000000000001
45;120;132;gbtree;0.77;0.895;-0.6000000000000001
46;120;132;gbtree;0.77;0.895;-0.6000000000000001
47;120;132;gbtree;0.77;0.895;-0.6000000000000001
48;120;132;gbtree;0.77;0.895;-0.6000000000000001
49;120;132;gbtree;0.77;0.895;-0.6000000000000001
50;120;132;gbtree;0.77;0.895;-0.6000000000000001
51;120;132;gbtree;0.77;0.895;-0.6000000000000001
52;120;132;gbtree;0.77;0.895;-0.6000000000000001
53;120;132;gbtree;0.77;0.895;-0.6000000000000001
54;120;132;gbtree;0.77;0.895;-0.6000000000000001
55;120;132;gbtree;0.77;0.895;-0.6000000000000001
56;120;132;gbtree;0.77;0.895;-0.6000000000000001
57;120;132;gbtree;0.77;0.895;-0.6000000000000001
58;120;132;gbtree;0.77;0.895;-0.6000000000000001
59;120;132;gbtree;0.77;0.895;-0.6000000000000001
60;120;132;gbtree;0.77;0.895;-0.6000000000000001
61;120;132;gbtree;0.77;0.895;-0.6000000000000001
62;120;132;gbtree;0.77;0.895;-0.6000000000000001
63;120;132;gbtree;0.77;0.895;-0.6000000000000001
64;120;132;gbtree;0.77;0.895;-0.6000000000000001
65;120;132;gbtree;0.77;0.895;-0.6000000000000001
66;120;132;gbtree;0.77;0.895;-0.6000000000000001
67;120;132;gbtree;0.77;0.895;-0.6000000000000001
68;120;132;gbtree;0.77;0.895;-0.6000000000000001
69;120;132;gbtree;0.77;0.895;-0.6000000000000001
70;120;132;gbtree;0.77;0.895;-0.6000000000000001
71;120;132;gbtree;0.77;0.895;-0.6000000000000001
72;120;132;gbtree;0.77;0.895;-0.6000000000000001
73;120;132;gbtree;0.77;0.895;-0.6000000000000001
74;120;132;gbtree;0.77;0.895;-0.6000000000000001
75;120;132;gbtree;0.77;0.895;-0.6000000000000001
76;120;132;gbtree;0.77;0.895;-0.6000000000000001
77;120;132;gbtree;0.77;0.895;-0.6000000000000001
78;120;132;gbtree;0.77;0.895;-0.6000000000000001
79;120;132;gbtree;0.77;0.895;-0.6000000000000001
80;120;132;gbtree;0.77;0.895;-0.6000000000000001
81;120;132;gbtree;0.77;0.895;-0.6000000000000001
82;120;132;gbtree;0.77;0.895;-0.6000000000000001
83;120;132;gbtree;0.77;0.895;-0.6000000000000001
84;120;132;gbtree;0.77;0.895;-0.6000000000000001
85;120;132;gbtree;0.77;0.895;-0.6000000000000001
86;120;132;gbtree;0.77;0.895;-0.6000000000000001
87;120;132;gbtree;0.77;0.895;-0.6000000000000001
88;120;132;gbtree;0.77;0.895;-0.6000000000000001
89;120;132;gbtree;0.77;0.895;-0.6000000000000001
90;120;132;gbtree;0.77;0.895;-0.6000000000000001
91;120;132;gbtree;0.77;0.895;-0.6000000000000001
92;120;132;gbtree;0.77;0.895;-0.6000000000000001
93;120;132;gbtree;0.77;0.895;-0.6000000000000001
94;120;132;gbtree;0.77;0.895;-0.6000000000000001
95;120;132;gbtree;0.77;0.895;-0.6000000000000001
96;120;132;gbtree;0.77;0.895;-0.6000000000000001
97;120;132;gbtree;0.77;0.895;-0.6000000000000001
98;120;132;gbtree;0.77;0.895;-0.6000000000000001
99;120;132;gbtree;0.77;0.895;-0.6000000000000001
100;120;132;gbtree;0.77;0.895;-0.6000000000000001
101;120;132;gbtree;0.77;0.895;-0.6000000000000001
102;120;132;gbtree;0.77;0.895;-0.6000000000000001
103;120;132;gbtree;0.77;0.895;-0.6000000000000001
104;120;132;gbtree;0.77;0.895;-0.6000000000000001
105;120;132;gbtree;0.77;0.895;-0.6000000000000001
106;120;132;gbtree;0.77;0.895;-0.6000000000000001
107;120;132;gbtree;0.77;0.895;-0.6000000000000001
108;120;132;gbtree;0.77;0.895;-0.6000000000000001
109;120;132;gbtree;0.77;0.895;-0.6000000000000001
110;120;132;gbtree;0.77;0.895;-0.6000000000000001
111;120;132;gbtree;0.77;0.895;-0.6000000000000001
112;120;132;gbtree;0.77;0.895;-0.6000000000000001
113;120;132;gbtree;0.77;0.895;-0.6000000000000001
