;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
0;186;181;gbtree;0.6900000000000001;0.185;-0.17500000000000002
1;186;181;gbtree;0.6900000000000001;0.185;-0.17500000000000002
2;46;43;gbtree;0.6950000000000001;0.095;-0.225
3;46;43;gbtree;0.6950000000000001;0.095;-0.225
4;46;43;gbtree;0.6950000000000001;0.095;-0.225
5;46;43;gbtree;0.6950000000000001;0.095;-0.225
6;46;43;gbtree;0.6950000000000001;0.095;-0.225
7;46;43;gbtree;0.6950000000000001;0.095;-0.225
8;46;43;gbtree;0.6950000000000001;0.095;-0.225
9;46;43;gbtree;0.6950000000000001;0.095;-0.225
10;46;43;gbtree;0.6950000000000001;0.095;-0.225
11;46;43;gbtree;0.6950000000000001;0.095;-0.225
12;46;43;gbtree;0.6950000000000001;0.095;-0.225
13;46;43;gbtree;0.6950000000000001;0.095;-0.225
14;46;43;gbtree;0.6950000000000001;0.095;-0.225
15;46;43;gbtree;0.6950000000000001;0.095;-0.225
16;46;43;gbtree;0.6950000000000001;0.095;-0.225
17;46;43;gbtree;0.6950000000000001;0.095;-0.225
18;46;43;gbtree;0.6950000000000001;0.095;-0.225
19;46;43;gbtree;0.6950000000000001;0.095;-0.225
20;46;43;gbtree;0.6950000000000001;0.095;-0.225
21;46;43;gbtree;0.6950000000000001;0.095;-0.225
22;46;43;gbtree;0.6950000000000001;0.095;-0.225
23;46;43;gbtree;0.6950000000000001;0.095;-0.225
24;46;43;gbtree;0.6950000000000001;0.095;-0.225
25;46;43;gbtree;0.6950000000000001;0.095;-0.225
26;46;43;gbtree;0.6950000000000001;0.095;-0.225
27;46;43;gbtree;0.6950000000000001;0.095;-0.225
28;46;43;gbtree;0.6950000000000001;0.095;-0.225
29;46;43;gbtree;0.6950000000000001;0.095;-0.225
30;46;43;gbtree;0.6950000000000001;0.095;-0.225
31;46;43;gbtree;0.6950000000000001;0.095;-0.225
32;46;43;gbtree;0.6950000000000001;0.095;-0.225
33;46;43;gbtree;0.6950000000000001;0.095;-0.225
34;46;43;gbtree;0.6950000000000001;0.095;-0.225
35;46;43;gbtree;0.6950000000000001;0.095;-0.225
36;46;43;gbtree;0.6950000000000001;0.095;-0.225
37;46;43;gbtree;0.6950000000000001;0.095;-0.225
38;46;43;gbtree;0.6950000000000001;0.095;-0.225
39;46;43;gbtree;0.6950000000000001;0.095;-0.225
40;46;43;gbtree;0.6950000000000001;0.095;-0.225
41;46;43;gbtree;0.6950000000000001;0.095;-0.225
42;46;43;gbtree;0.6950000000000001;0.095;-0.225
43;46;43;gbtree;0.6950000000000001;0.095;-0.225
44;46;43;gbtree;0.6950000000000001;0.095;-0.225
45;46;43;gbtree;0.6950000000000001;0.095;-0.225
46;46;43;gbtree;0.6950000000000001;0.095;-0.225
47;46;43;gbtree;0.6950000000000001;0.095;-0.225
48;46;43;gbtree;0.6950000000000001;0.095;-0.225
49;46;43;gbtree;0.6950000000000001;0.095;-0.225
50;46;43;gbtree;0.6950000000000001;0.095;-0.225
51;46;43;gbtree;0.6950000000000001;0.095;-0.225
52;46;43;gbtree;0.6950000000000001;0.095;-0.225
53;46;43;gbtree;0.6950000000000001;0.095;-0.225
54;46;43;gbtree;0.6950000000000001;0.095;-0.225
55;46;43;gbtree;0.6950000000000001;0.095;-0.225
56;46;43;gbtree;0.6950000000000001;0.095;-0.225
57;46;43;gbtree;0.6950000000000001;0.095;-0.225
58;46;43;gbtree;0.6950000000000001;0.095;-0.225
59;46;43;gbtree;0.6950000000000001;0.095;-0.225
60;46;43;gbtree;0.6950000000000001;0.095;-0.225
61;46;43;gbtree;0.6950000000000001;0.095;-0.225
62;46;43;gbtree;0.6950000000000001;0.095;-0.225
63;46;43;gbtree;0.6950000000000001;0.095;-0.225
64;46;43;gbtree;0.6950000000000001;0.095;-0.225
65;46;43;gbtree;0.6950000000000001;0.095;-0.225
66;46;43;gbtree;0.6950000000000001;0.095;-0.225
67;46;43;gbtree;0.6950000000000001;0.095;-0.225
68;46;43;gbtree;0.6950000000000001;0.095;-0.225
69;46;43;gbtree;0.6950000000000001;0.095;-0.225
70;46;43;gbtree;0.6950000000000001;0.095;-0.225
71;46;43;gbtree;0.6950000000000001;0.095;-0.225
72;46;43;gbtree;0.6950000000000001;0.095;-0.225
73;46;43;gbtree;0.6950000000000001;0.095;-0.225
74;46;43;gbtree;0.6950000000000001;0.095;-0.225
75;46;43;gbtree;0.6950000000000001;0.095;-0.225
76;46;43;gbtree;0.6950000000000001;0.095;-0.225
77;46;43;gbtree;0.6950000000000001;0.095;-0.225
78;46;43;gbtree;0.6950000000000001;0.095;-0.225
79;46;43;gbtree;0.6950000000000001;0.095;-0.225
80;46;43;gbtree;0.6950000000000001;0.095;-0.225
81;46;43;gbtree;0.6950000000000001;0.095;-0.225
82;46;43;gbtree;0.6950000000000001;0.095;-0.225
83;46;43;gbtree;0.6950000000000001;0.095;-0.225
84;46;43;gbtree;0.6950000000000001;0.095;-0.225
85;46;43;gbtree;0.6950000000000001;0.095;-0.225
86;46;43;gbtree;0.6950000000000001;0.095;-0.225
87;46;43;gbtree;0.6950000000000001;0.095;-0.225
88;46;43;gbtree;0.6950000000000001;0.095;-0.225
89;46;43;gbtree;0.6950000000000001;0.095;-0.225
90;46;43;gbtree;0.6950000000000001;0.095;-0.225
91;46;43;gbtree;0.6950000000000001;0.095;-0.225
92;46;43;gbtree;0.6950000000000001;0.095;-0.225
93;46;43;gbtree;0.6950000000000001;0.095;-0.225
94;46;43;gbtree;0.6950000000000001;0.095;-0.225
95;46;43;gbtree;0.6950000000000001;0.095;-0.225
96;46;43;gbtree;0.6950000000000001;0.095;-0.225
97;46;43;gbtree;0.6950000000000001;0.095;-0.225
98;46;43;gbtree;0.6950000000000001;0.095;-0.225
99;46;43;gbtree;0.6950000000000001;0.095;-0.225
100;46;43;gbtree;0.6950000000000001;0.095;-0.225
101;46;43;gbtree;0.6950000000000001;0.095;-0.225
102;46;43;gbtree;0.6950000000000001;0.095;-0.225
103;46;43;gbtree;0.6950000000000001;0.095;-0.225
104;46;43;gbtree;0.6950000000000001;0.095;-0.225
105;46;43;gbtree;0.6950000000000001;0.095;-0.225
106;46;43;gbtree;0.6950000000000001;0.095;-0.225
107;46;43;gbtree;0.6950000000000001;0.095;-0.225
108;46;43;gbtree;0.6950000000000001;0.095;-0.225
109;46;43;gbtree;0.6950000000000001;0.095;-0.225
110;46;43;gbtree;0.6950000000000001;0.095;-0.225
111;46;43;gbtree;0.6950000000000001;0.095;-0.225
112;46;43;gbtree;0.6950000000000001;0.095;-0.225
113;46;43;gbtree;0.6950000000000001;0.095;-0.225
114;46;43;gbtree;0.6950000000000001;0.095;-0.225
115;46;43;gbtree;0.6950000000000001;0.095;-0.225
116;46;43;gbtree;0.6950000000000001;0.095;-0.225
