;OTIMIZADOR;MODELO;CLASSES;SEED;Hidden Layers;Alpha;Activation;Fitness
452;SA;MLP;9;3000;337;0.16;tanh;-0.15
453;SA;MLP;9;3000;337;0.16;tanh;-0.15
454;SA;MLP;9;3000;82;0.77;tanh;-0.2
455;SA;MLP;9;3000;82;0.77;tanh;-0.2
456;SA;MLP;9;3000;82;0.77;tanh;-0.2
457;SA;MLP;9;3000;372;0.32;tanh;-0.225
458;SA;MLP;9;3000;372;0.32;tanh;-0.225
459;SA;MLP;9;3000;372;0.32;tanh;-0.225
460;SA;MLP;9;3000;372;0.32;tanh;-0.225
461;SA;MLP;9;3000;372;0.32;tanh;-0.225
462;SA;MLP;9;3000;372;0.32;tanh;-0.225
463;SA;MLP;9;3000;372;0.32;tanh;-0.225
464;SA;MLP;9;3000;372;0.32;tanh;-0.225
465;SA;MLP;9;3000;372;0.32;tanh;-0.225
466;SA;MLP;9;3000;372;0.32;tanh;-0.225
467;SA;MLP;9;3000;372;0.32;tanh;-0.225
468;SA;MLP;9;3000;372;0.32;tanh;-0.225
469;SA;MLP;9;3000;372;0.32;tanh;-0.225
470;SA;MLP;9;3000;372;0.32;tanh;-0.225
471;SA;MLP;9;3000;372;0.32;tanh;-0.225
472;SA;MLP;9;3000;372;0.32;tanh;-0.225
473;SA;MLP;9;3000;372;0.32;tanh;-0.225
474;SA;MLP;9;3000;372;0.32;tanh;-0.225
475;SA;MLP;9;3000;372;0.32;tanh;-0.225
476;SA;MLP;9;3000;372;0.32;tanh;-0.225
477;SA;MLP;9;3000;372;0.32;tanh;-0.225
478;SA;MLP;9;3000;372;0.32;tanh;-0.225
479;SA;MLP;9;3000;372;0.32;tanh;-0.225
480;SA;MLP;9;3000;372;0.32;tanh;-0.225
481;SA;MLP;9;3000;372;0.32;tanh;-0.225
482;SA;MLP;9;3000;372;0.32;tanh;-0.225
483;SA;MLP;9;3000;372;0.32;tanh;-0.225
484;SA;MLP;9;3000;372;0.32;tanh;-0.225
485;SA;MLP;9;3000;372;0.32;tanh;-0.225
486;SA;MLP;9;3000;372;0.32;tanh;-0.225
487;SA;MLP;9;3000;372;0.32;tanh;-0.225
488;SA;MLP;9;3000;372;0.32;tanh;-0.225
489;SA;MLP;9;3000;372;0.32;tanh;-0.225
490;SA;MLP;9;3000;372;0.32;tanh;-0.225
491;SA;MLP;9;3000;372;0.32;tanh;-0.225
492;SA;MLP;9;3000;372;0.32;tanh;-0.225
493;SA;MLP;9;3000;372;0.32;tanh;-0.225
494;SA;MLP;9;3000;372;0.32;tanh;-0.225
495;SA;MLP;9;3000;372;0.32;tanh;-0.225
496;SA;MLP;9;3000;372;0.32;tanh;-0.225
497;SA;MLP;9;3000;372;0.32;tanh;-0.225
498;SA;MLP;9;3000;372;0.32;tanh;-0.225
499;SA;MLP;9;3000;372;0.32;tanh;-0.225
500;SA;MLP;9;3000;372;0.32;tanh;-0.225
501;SA;MLP;9;3000;372;0.32;tanh;-0.225
502;SA;MLP;9;3000;372;0.32;tanh;-0.225
503;SA;MLP;9;3000;372;0.32;tanh;-0.225
504;SA;MLP;9;3000;372;0.32;tanh;-0.225
505;SA;MLP;9;3000;372;0.32;tanh;-0.225
506;SA;MLP;9;3000;372;0.32;tanh;-0.225
507;SA;MLP;9;3000;372;0.32;tanh;-0.225
508;SA;MLP;9;3000;372;0.32;tanh;-0.225
509;SA;MLP;9;3000;372;0.32;tanh;-0.225
510;SA;MLP;9;3000;372;0.32;tanh;-0.225
511;SA;MLP;9;3000;372;0.32;tanh;-0.225
512;SA;MLP;9;3000;372;0.32;tanh;-0.225
513;SA;MLP;9;3000;372;0.32;tanh;-0.225
514;SA;MLP;9;3000;372;0.32;tanh;-0.225
515;SA;MLP;9;3000;372;0.32;tanh;-0.225
516;SA;MLP;9;3000;372;0.32;tanh;-0.225
517;SA;MLP;9;3000;372;0.32;tanh;-0.225
518;SA;MLP;9;3000;372;0.32;tanh;-0.225
519;SA;MLP;9;3000;372;0.32;tanh;-0.225
520;SA;MLP;9;3000;372;0.32;tanh;-0.225
521;SA;MLP;9;3000;372;0.32;tanh;-0.225
522;SA;MLP;9;3000;372;0.32;tanh;-0.225
523;SA;MLP;9;3000;372;0.32;tanh;-0.225
524;SA;MLP;9;3000;372;0.32;tanh;-0.225
525;SA;MLP;9;3000;372;0.32;tanh;-0.225
526;SA;MLP;9;3000;372;0.32;tanh;-0.225
527;SA;MLP;9;3000;372;0.32;tanh;-0.225
528;SA;MLP;9;3000;372;0.32;tanh;-0.225
529;SA;MLP;9;3000;372;0.32;tanh;-0.225
530;SA;MLP;9;3000;372;0.32;tanh;-0.225
531;SA;MLP;9;3000;46;0.51;identity;-0.25
532;SA;MLP;9;3000;46;0.51;identity;-0.25
533;SA;MLP;9;3000;46;0.51;identity;-0.25
534;SA;MLP;9;3000;46;0.51;identity;-0.25
535;SA;MLP;9;3000;46;0.51;identity;-0.25
536;SA;MLP;9;3000;46;0.51;identity;-0.25
537;SA;MLP;9;3000;46;0.51;identity;-0.25
538;SA;MLP;9;3000;46;0.51;identity;-0.25
539;SA;MLP;9;3000;46;0.51;identity;-0.25
540;SA;MLP;9;3000;46;0.51;identity;-0.25
541;SA;MLP;9;3000;46;0.51;identity;-0.25
542;SA;MLP;9;3000;46;0.51;identity;-0.25
543;SA;MLP;9;3000;46;0.51;identity;-0.25
544;SA;MLP;9;3000;46;0.51;identity;-0.25
545;SA;MLP;9;3000;46;0.51;identity;-0.25
546;SA;MLP;9;3000;46;0.51;identity;-0.25
547;SA;MLP;9;3000;46;0.51;identity;-0.25
548;SA;MLP;9;3000;46;0.51;identity;-0.25
549;SA;MLP;9;3000;46;0.51;identity;-0.25
550;SA;MLP;9;3000;46;0.51;identity;-0.25
551;SA;MLP;9;3000;46;0.51;identity;-0.25
552;SA;MLP;9;3000;46;0.51;identity;-0.25
553;SA;MLP;9;3000;26;0.35;identity;-0.275
554;SA;MLP;9;3000;26;0.35;identity;-0.275
555;SA;MLP;9;3000;26;0.35;identity;-0.275
556;SA;MLP;9;3000;26;0.35;identity;-0.275
557;SA;MLP;9;3000;26;0.35;identity;-0.275
558;SA;MLP;9;3000;26;0.35;identity;-0.275
559;SA;MLP;9;3000;26;0.35;identity;-0.275
560;SA;MLP;9;3000;26;0.35;identity;-0.275
561;SA;MLP;9;3000;26;0.35;identity;-0.275
562;SA;MLP;9;3000;26;0.35;identity;-0.275
563;SA;MLP;9;3000;26;0.35;identity;-0.275
564;SA;MLP;9;3000;26;0.35;identity;-0.275
565;SA;MLP;9;3000;26;0.35;identity;-0.275
566;SA;MLP;9;3000;26;0.35;identity;-0.275
567;SA;MLP;9;3000;26;0.35;identity;-0.275
568;SA;MLP;9;3000;26;0.35;identity;-0.275
569;SA;MLP;9;3000;26;0.35;identity;-0.275
570;SA;MLP;9;3000;26;0.35;identity;-0.275
571;SA;MLP;9;3000;26;0.35;identity;-0.275
572;SA;MLP;9;3000;26;0.35;identity;-0.275
573;SA;MLP;9;3000;26;0.35;identity;-0.275
574;SA;MLP;9;3000;26;0.35;identity;-0.275
575;SA;MLP;9;3000;26;0.35;identity;-0.275
576;SA;MLP;9;3000;26;0.35;identity;-0.275
577;SA;MLP;9;3000;26;0.35;identity;-0.275
578;SA;MLP;9;3000;26;0.35;identity;-0.275
579;SA;MLP;9;3000;26;0.35;identity;-0.275
580;SA;MLP;9;3000;26;0.35;identity;-0.275
581;SA;MLP;9;3000;26;0.35;identity;-0.275
582;SA;MLP;9;3000;26;0.35;identity;-0.275
583;SA;MLP;9;3000;26;0.35;identity;-0.275
584;SA;MLP;9;3000;26;0.35;identity;-0.275
585;SA;MLP;9;3000;26;0.35;identity;-0.275
586;SA;MLP;9;3000;26;0.35;identity;-0.275
587;SA;MLP;9;3000;26;0.35;identity;-0.275
588;SA;MLP;9;3000;26;0.35;identity;-0.275
589;SA;MLP;9;3000;26;0.35;identity;-0.275
590;SA;MLP;9;3000;26;0.35;identity;-0.275
591;SA;MLP;9;3000;26;0.35;identity;-0.275
592;SA;MLP;9;3000;26;0.35;identity;-0.275
593;SA;MLP;9;3000;26;0.35;identity;-0.275
594;SA;MLP;9;3000;26;0.35;identity;-0.275
595;SA;MLP;9;3000;26;0.35;identity;-0.275
596;SA;MLP;9;3000;26;0.35;identity;-0.275
597;SA;MLP;9;3000;26;0.35;identity;-0.275
598;SA;MLP;9;3000;26;0.35;identity;-0.275
599;SA;MLP;9;3000;26;0.35;identity;-0.275
600;SA;MLP;9;3000;26;0.35;identity;-0.275
601;SA;MLP;9;3000;26;0.35;identity;-0.275
602;SA;MLP;9;3000;26;0.35;identity;-0.275
603;SA;MLP;9;3000;26;0.35;identity;-0.275
604;SA;MLP;9;3000;26;0.35;identity;-0.275
605;SA;MLP;9;3000;26;0.35;identity;-0.275
606;SA;MLP;9;3000;26;0.35;identity;-0.275
607;SA;MLP;9;3000;26;0.35;identity;-0.275
608;SA;MLP;9;3000;26;0.35;identity;-0.275
609;SA;MLP;9;3000;26;0.35;identity;-0.275
610;SA;MLP;9;3000;26;0.35;identity;-0.275
611;SA;MLP;9;3000;26;0.35;identity;-0.275
612;SA;MLP;9;3000;26;0.35;identity;-0.275
613;SA;MLP;9;3000;26;0.35;identity;-0.275
614;SA;MLP;9;3000;26;0.35;identity;-0.275
615;SA;MLP;9;3000;26;0.35;identity;-0.275
616;SA;MLP;9;3000;26;0.35;identity;-0.275
617;SA;MLP;9;3000;26;0.35;identity;-0.275
618;SA;MLP;9;3000;26;0.35;identity;-0.275
619;SA;MLP;9;3000;26;0.35;identity;-0.275
620;SA;MLP;9;3000;26;0.35;identity;-0.275
621;SA;MLP;9;3000;26;0.35;identity;-0.275
622;SA;MLP;9;3000;26;0.35;identity;-0.275
623;SA;MLP;9;3000;26;0.35;identity;-0.275
624;SA;MLP;9;3000;26;0.35;identity;-0.275
625;SA;MLP;9;3000;26;0.35;identity;-0.275
626;SA;MLP;9;3000;26;0.35;identity;-0.275
627;SA;MLP;9;3000;26;0.35;identity;-0.275
628;SA;MLP;9;3000;26;0.35;identity;-0.275
629;SA;MLP;9;3000;26;0.35;identity;-0.275
630;SA;MLP;9;3000;26;0.35;identity;-0.275
631;SA;MLP;9;3000;26;0.35;identity;-0.275
632;SA;MLP;9;3000;26;0.35;identity;-0.275
633;SA;MLP;9;3000;26;0.35;identity;-0.275
634;SA;MLP;9;3000;26;0.35;identity;-0.275
635;SA;MLP;9;3000;26;0.35;identity;-0.275
636;SA;MLP;9;3000;26;0.35;identity;-0.275
637;SA;MLP;9;3000;26;0.35;identity;-0.275
638;SA;MLP;9;3000;26;0.35;identity;-0.275
639;SA;MLP;9;3000;26;0.35;identity;-0.275
640;SA;MLP;9;3000;26;0.35;identity;-0.275
641;SA;MLP;9;3000;26;0.35;identity;-0.275
642;SA;MLP;9;3000;26;0.35;identity;-0.275
643;SA;MLP;9;3000;26;0.35;identity;-0.275
