;OTIMIZADOR;MODELO;CLASSES;SEED;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
2112;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2113;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2114;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2115;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2116;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2117;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2118;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2119;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2120;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2121;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2122;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2123;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2124;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2125;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2126;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2127;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2128;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2129;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2130;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2131;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2132;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2133;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2134;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2135;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2136;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2137;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2138;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2139;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2140;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2141;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2142;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2143;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2144;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2145;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2146;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2147;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2148;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2149;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2150;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2151;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2152;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2153;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2154;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2155;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2156;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2157;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2158;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2159;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2160;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2161;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2162;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2163;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2164;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2165;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2166;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2167;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2168;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2169;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2170;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2171;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2172;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2173;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2174;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2175;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2176;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2177;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2178;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2179;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2180;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2181;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2182;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
